Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2021,03,HYDERABAD,AGARTALA,17.00,22.00,0.12,0.00,0.00,0.00
2021,04,HYDERABAD,AGARTALA,257.00,324.00,4.49,0.26,0.00,0.00
2021,06,HYDERABAD,AGARTALA,60.00,134.00,1.87,0.47,0.00,0.00
2021,07,HYDERABAD,AGARTALA,103.00,113.00,0.83,0.00,0.00,0.00
2021,08,HYDERABAD,AGARTALA,97.00,161.00,0.37,0.03,0.00,0.00
2021,09,HYDERABAD,AGARTALA,82.00,135.00,0.95,0.03,0.00,0.00
2021,10,HYDERABAD,AGARTALA,408.00,347.00,1.27,0.02,0.00,0.00
2021,01,HYDERABAD,AHMEDABAD,16139.00,16259.00,60.79,2.10,3.68,0.00
2021,02,HYDERABAD,AHMEDABAD,16036.00,17300.00,92.86,3.79,3.46,0.00
2021,03,HYDERABAD,AHMEDABAD,14757.00,15845.00,134.42,1.70,3.72,0.00
2021,04,HYDERABAD,AHMEDABAD,9836.00,7604.00,103.42,76.49,2.77,0.00
2021,06,HYDERABAD,AHMEDABAD,9687.00,9681.00,90.65,86.24,6.31,1.93
2021,07,HYDERABAD,AHMEDABAD,11474.00,10541.00,99.15,108.03,7.61,1.15
2021,08,HYDERABAD,AHMEDABAD,11243.00,11581.00,93.46,116.26,6.67,1.36
2021,09,HYDERABAD,AHMEDABAD,11437.00,11859.00,72.55,105.67,9.86,1.32
2021,10,HYDERABAD,AHMEDABAD,13062.00,15087.00,97.00,118.11,4.93,0.97
2021,11,HYDERABAD,AHMEDABAD,15798.00,15735.00,76.29,88.29,3.70,1.00
2021,12,HYDERABAD,AHMEDABAD,16238.00,16275.00,74.57,110.37,4.32,1.11
2021,01,HYDERABAD,AJMER,1502.00,1238.00,0.00,0.00,0.00,0.00
2021,02,HYDERABAD,AJMER,2421.00,2339.00,0.57,0.00,0.00,0.00
2021,03,HYDERABAD,AJMER,2648.00,2413.00,0.77,0.00,0.00,0.00
2021,04,HYDERABAD,AJMER,2404.00,1944.00,0.45,0.00,0.00,0.00
2021,06,HYDERABAD,AJMER,1858.00,2010.00,0.05,0.00,0.00,0.00
2021,07,HYDERABAD,AJMER,2352.00,2320.00,3.42,0.00,0.00,0.00
2021,08,HYDERABAD,AJMER,2387.00,2388.00,2.16,0.00,0.00,0.00
2021,09,HYDERABAD,AJMER,2328.00,2290.00,0.36,0.00,0.00,0.00
2021,10,HYDERABAD,AJMER,2401.00,2142.00,0.06,0.00,0.00,0.00
2021,11,HYDERABAD,AJMER,2699.00,2479.00,0.02,0.00,0.00,0.00
2021,12,HYDERABAD,AJMER,2704.00,2687.00,0.30,0.00,0.00,0.00
2021,09,HYDERABAD,ALLAHABAD,0.00,11.00,0.00,0.00,0.00,0.00
2021,03,HYDERABAD,AMRITSAR,76.00,30.00,0.00,0.00,0.00,0.00
2021,04,HYDERABAD,AMRITSAR,216.00,265.00,0.20,0.02,0.00,0.00
2021,10,HYDERABAD,AMRITSAR,7.00,7.00,0.00,0.00,0.00,0.00
2021,11,HYDERABAD,AMRITSAR,319.00,309.00,0.00,0.14,0.00,0.00
2021,12,HYDERABAD,AMRITSAR,571.00,544.00,0.26,0.00,0.00,0.00
2021,01,HYDERABAD,AURANGABAD,1866.00,1955.00,0.14,0.05,0.00,0.00
2021,02,HYDERABAD,AURANGABAD,1633.00,1734.00,0.04,0.10,0.00,0.00
2021,03,HYDERABAD,AURANGABAD,1217.00,1359.00,0.67,0.77,0.00,0.00
2021,04,HYDERABAD,AURANGABAD,370.00,719.00,0.03,2.34,0.00,0.00
2021,06,HYDERABAD,AURANGABAD,232.00,202.00,0.06,0.19,0.00,0.00
2021,07,HYDERABAD,AURANGABAD,657.00,1070.00,0.13,0.36,0.00,0.00
2021,08,HYDERABAD,AURANGABAD,984.00,1382.00,0.02,0.13,0.00,0.00
2021,09,HYDERABAD,AURANGABAD,1170.00,1801.00,0.17,0.44,0.00,0.00
2021,10,HYDERABAD,AURANGABAD,1652.00,1886.00,0.59,0.65,0.00,0.00
2021,11,HYDERABAD,AURANGABAD,2112.00,2108.00,0.08,0.39,0.00,0.00
2021,12,HYDERABAD,AURANGABAD,2084.00,1968.00,0.04,0.36,0.00,0.00
2021,01,HYDERABAD,BAGDOGRA,3877.00,5081.00,13.04,15.78,0.00,0.00
2021,02,HYDERABAD,BAGDOGRA,4615.00,5139.00,10.51,14.07,0.00,0.00
