Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2020,01,HYDERABAD,AHMEDABAD,30273.00,28265.00,83.04,237.85,4.92,0.84
2020,02,HYDERABAD,AHMEDABAD,24969.00,20605.00,70.48,311.97,4.66,0.88
2020,03,HYDERABAD,AHMEDABAD,20915.00,18528.00,53.13,287.92,0.00,0.00
2020,05,HYDERABAD,AHMEDABAD,448.00,834.00,1.14,2.59,0.11,0.00
2020,06,HYDERABAD,AHMEDABAD,7626.00,8588.00,64.58,89.58,8.12,2.61
2020,07,HYDERABAD,AHMEDABAD,10382.00,9773.00,86.38,128.06,7.68,3.83
2020,08,HYDERABAD,AHMEDABAD,12896.00,11518.00,96.15,121.49,5.91,4.28
2020,09,HYDERABAD,AHMEDABAD,13413.00,14652.00,91.29,110.34,6.85,2.54
2020,10,HYDERABAD,AHMEDABAD,14595.00,16266.00,83.96,121.80,4.58,3.63
2020,11,HYDERABAD,AHMEDABAD,18462.00,15869.00,80.86,123.34,5.56,1.17
2020,12,HYDERABAD,AHMEDABAD,16766.00,17451.00,77.77,78.77,4.48,3.53
2020,01,HYDERABAD,AJMER,2638.00,2374.00,0.00,0.00,0.00,0.00
2020,02,HYDERABAD,AJMER,2405.00,2221.00,0.00,0.00,0.00,0.00
2020,03,HYDERABAD,AJMER,1759.00,1573.00,0.00,0.00,0.00,0.00
2020,06,HYDERABAD,AJMER,1462.00,1492.00,1.48,0.00,0.00,0.00
2020,07,HYDERABAD,AJMER,1427.00,1321.00,1.20,0.00,0.00,0.00
2020,08,HYDERABAD,AJMER,1626.00,1600.00,0.00,0.00,0.00,0.00
2020,09,HYDERABAD,AJMER,1365.00,1286.00,0.33,0.00,0.00,0.00
2020,10,HYDERABAD,AJMER,1582.00,1514.00,0.00,0.00,0.00,0.00
2020,11,HYDERABAD,AJMER,1414.00,1309.00,0.01,0.00,0.00,0.00
2020,12,HYDERABAD,AJMER,1646.00,1634.00,0.26,0.00,0.00,0.00
2020,01,HYDERABAD,AMRITSAR,4537.00,4351.00,4.04,0.36,0.01,0.00
2020,02,HYDERABAD,AMRITSAR,2269.00,1849.00,4.69,0.33,0.00,0.00
2020,06,HYDERABAD,AMRITSAR,0.00,0.00,31.80,0.00,0.00,0.00
2020,01,HYDERABAD,AURANGABAD,4552.00,4033.00,0.05,0.86,0.00,0.00
2020,02,HYDERABAD,AURANGABAD,5414.00,6356.00,1.96,1.03,0.00,0.00
2020,03,HYDERABAD,AURANGABAD,2755.00,2864.00,0.11,0.85,0.00,0.00
2020,07,HYDERABAD,AURANGABAD,558.00,500.00,0.00,0.05,0.00,0.00
2020,08,HYDERABAD,AURANGABAD,1300.00,1253.00,0.09,0.19,0.00,0.00
2020,09,HYDERABAD,AURANGABAD,1499.00,1557.00,0.08,0.63,0.00,0.00
2020,10,HYDERABAD,AURANGABAD,1507.00,1647.00,0.09,0.12,0.00,0.00
2020,11,HYDERABAD,AURANGABAD,2061.00,2025.00,0.08,0.03,0.00,0.00
2020,12,HYDERABAD,AURANGABAD,2137.00,2065.00,0.01,0.01,0.00,0.00
2020,01,HYDERABAD,BAGDOGRA,5057.00,5383.00,10.14,8.43,0.00,0.00
2020,02,HYDERABAD,BAGDOGRA,4919.00,5070.00,7.87,8.83,0.00,0.00
2020,03,HYDERABAD,BAGDOGRA,4031.00,3426.00,3.04,7.54,0.00,0.00
2020,07,HYDERABAD,BAGDOGRA,2699.00,2789.00,4.70,6.75,0.15,0.00
2020,08,HYDERABAD,BAGDOGRA,2831.00,4376.00,11.73,16.25,0.16,0.00
2020,09,HYDERABAD,BAGDOGRA,4668.00,6884.00,29.90,34.57,0.00,0.00
2020,10,HYDERABAD,BAGDOGRA,5565.00,7137.00,20.48,29.20,0.00,0.00
2020,11,HYDERABAD,BAGDOGRA,4960.00,5300.00,12.28,22.90,0.00,0.00
2020,12,HYDERABAD,BAGDOGRA,5125.00,5456.00,8.87,21.34,0.00,0.00
2020,01,HYDERABAD,BELGAUM,3507.00,3640.00,0.04,0.11,0.00,0.00
2020,02,HYDERABAD,BELGAUM,4903.00,5199.00,0.00,0.14,0.00,0.00
2020,03,HYDERABAD,BELGAUM,3133.00,3062.00,0.00,0.00,0.00,0.00
2020,05,HYDERABAD,BELGAUM,204.00,148.00,0.00,0.00,0.00,0.00
2020,06,HYDERABAD,BELGAUM,2794.00,2292.00,0.08,0.01,0.00,0.00
2020,07,HYDERABAD,BELGAUM,3754.00,2667.00,0.14,0.42,0.00,0.00
2020,08,HYDERABAD,BELGAUM,4415.00,4281.00,0.21,0.55,0.00,0.00
2020,09,HYDERABAD,BELGAUM,5021.00,5068.00,0.77,0.40,0.00,0.00
2020,10,HYDERABAD,BELGAUM,5516.00,5627.00,0.44,0.25,0.00,0.00
2020,11,HYDERABAD,BELGAUM,5783.00,5815.00,0.16,0.37,0.00,0.00
2020,12,HYDERABAD,BELGAUM,6561.00,6513.00,0.77,0.09,0.00,0.00
2020,01,HYDERABAD,BENGALURU,91775.00,89345.00,155.49,231.47,0.45,2.07
2020,02,HYDERABAD,BENGALURU,84173.00,83685.00,113.11,196.80,0.30,1.75
2020,03,HYDERABAD,BENGALURU,42183.00,49214.00,113.84,166.47,0.00,0.00
2020,05,HYDERABAD,BENGALURU,1842.00,2572.00,11.80,11.47,0.84,4.99
2020,06,HYDERABAD,BENGALURU,11189.00,13936.00,115.60,114.30,7.87,41.48
2020,07,HYDERABAD,BENGALURU,11953.00,13182.00,102.43,71.74,8.66,24.37
2020,08,HYDERABAD,BENGALURU,16463.00,14127.00,93.47,75.74,5.81,16.09
2020,09,HYDERABAD,BENGALURU,19697.00,15846.00,110.84,152.20,2.51,16.45
2020,10,HYDERABAD,BENGALURU,27311.00,25996.00,95.07,122.29,5.13,10.46
2020,11,HYDERABAD,BENGALURU,29469.00,29021.00,77.30,125.14,13.16,17.28
2020,12,HYDERABAD,BENGALURU,40126.00,36443.00,59.33,125.74,6.38,29.43
2020,01,HYDERABAD,BHOPAL,2986.00,3028.00,1.32,0.71,0.00,0.00
2020,02,HYDERABAD,BHOPAL,2128.00,2074.00,0.33,0.00,0.00,0.00
2020,03,HYDERABAD,BHOPAL,1613.00,1429.00,0.35,0.02,0.00,0.00
2020,05,HYDERABAD,BHOPAL,60.00,16.00,0.00,0.00,0.00,0.00
2020,06,HYDERABAD,BHOPAL,1305.00,476.00,0.42,0.00,0.11,0.00
2020,07,HYDERABAD,BHOPAL,2081.00,1358.00,0.22,0.09,0.22,0.00
2020,08,HYDERABAD,BHOPAL,1381.00,1322.00,0.77,0.03,1.18,0.00
2020,09,HYDERABAD,BHOPAL,1431.00,1375.00,1.32,0.10,0.98,1.50
2020,10,HYDERABAD,BHOPAL,1861.00,1849.00,0.35,0.05,1.16,0.12
2020,11,HYDERABAD,BHOPAL,1944.00,1883.00,0.51,0.07,1.20,0.20
2020,12,HYDERABAD,BHOPAL,1867.00,2213.00,0.17,0.00,0.71,0.39
2020,01,HYDERABAD,BHUBANESWAR,19439.00,18842.00,36.02,4.49,4.85,1.10
2020,02,HYDERABAD,BHUBANESWAR,18103.00,18340.00,36.94,1.34,4.19,0.85
2020,03,HYDERABAD,BHUBANESWAR,13611.00,11883.00,31.02,3.36,0.00,0.00
2020,05,HYDERABAD,BHUBANESWAR,551.00,284.00,1.67,0.04,0.13,0.08
2020,06,HYDERABAD,BHUBANESWAR,5652.00,3752.00,13.07,1.06,2.87,1.35
2020,07,HYDERABAD,BHUBANESWAR,6535.00,4026.00,31.51,0.71,5.35,1.50
2020,08,HYDERABAD,BHUBANESWAR,5545.00,6981.00,26.60,2.03,6.84,1.49
2020,09,HYDERABAD,BHUBANESWAR,6122.00,11196.00,29.43,0.72,6.17,1.63
2020,10,HYDERABAD,BHUBANESWAR,7148.00,11014.00,28.33,0.73,4.23,1.94
2020,11,HYDERABAD,BHUBANESWAR,11505.00,10780.00,27.96,1.53,4.72,1.83
2020,12,HYDERABAD,BHUBANESWAR,12118.00,12280.00,27.02,1.03,4.35,1.78
2020,01,HYDERABAD,CHANDIGARH,6514.00,6107.00,23.38,16.84,0.10,0.82
2020,02,HYDERABAD,CHANDIGARH,4545.00,4344.00,19.50,18.41,0.03,0.69
2020,03,HYDERABAD,CHANDIGARH,4144.00,3720.00,14.20,13.00,0.00,0.00
2020,06,HYDERABAD,CHANDIGARH,590.00,323.00,0.67,4.90,0.09,0.00
2020,07,HYDERABAD,CHANDIGARH,2572.00,1321.00,9.34,28.79,1.36,0.00
2020,08,HYDERABAD,CHANDIGARH,2862.00,1740.00,26.85,69.87,1.94,0.00
2020,09,HYDERABAD,CHANDIGARH,3092.00,1732.00,28.49,59.73,1.66,0.00
2020,10,HYDERABAD,CHANDIGARH,3627.00,2326.00,22.81,55.50,1.02,0.01
2020,11,HYDERABAD,CHANDIGARH,4110.00,3933.00,17.95,45.87,0.65,0.09
2020,12,HYDERABAD,CHANDIGARH,4696.00,5085.00,19.76,41.17,0.42,0.00
2020,01,HYDERABAD,CHENNAI,65298.00,67041.00,256.52,312.34,6.00,19.62
2020,02,HYDERABAD,CHENNAI,60223.00,59935.00,332.16,395.35,5.72,16.44
2020,03,HYDERABAD,CHENNAI,35196.00,40185.00,318.36,324.07,0.33,0.52
2020,04,HYDERABAD,CHENNAI,0.00,0.00,0.00,5.54,0.00,0.00
2020,05,HYDERABAD,CHENNAI,748.00,1078.00,49.44,94.81,1.44,2.27
2020,06,HYDERABAD,CHENNAI,4854.00,8463.00,216.17,324.01,10.38,18.71
2020,07,HYDERABAD,CHENNAI,10923.00,11447.00,295.08,515.29,12.12,33.13
2020,08,HYDERABAD,CHENNAI,19584.00,12971.00,579.80,623.10,16.35,18.66
2020,09,HYDERABAD,CHENNAI,25152.00,17265.00,632.18,610.62,14.14,16.64
2020,10,HYDERABAD,CHENNAI,31313.00,24852.00,483.41,594.12,12.57,16.07
2020,11,HYDERABAD,CHENNAI,28282.00,27564.00,569.33,533.59,9.38,22.54
2020,12,HYDERABAD,CHENNAI,33477.00,30606.00,630.48,621.08,12.45,23.26
2020,01,HYDERABAD,COIMBATORE,19651.00,19589.00,12.18,49.22,0.04,0.00
2020,02,HYDERABAD,COIMBATORE,17623.00,17315.00,9.53,58.85,0.08,0.00
2020,03,HYDERABAD,COIMBATORE,10977.00,11359.00,10.34,49.10,0.00,0.00
2020,05,HYDERABAD,COIMBATORE,101.00,209.00,0.04,0.04,0.02,0.00
2020,06,HYDERABAD,COIMBATORE,3908.00,4084.00,11.23,31.56,0.89,0.00
2020,07,HYDERABAD,COIMBATORE,3198.00,3704.00,16.79,31.45,0.81,0.00
2020,08,HYDERABAD,COIMBATORE,5439.00,4573.00,15.29,41.32,0.72,0.00
2020,09,HYDERABAD,COIMBATORE,5469.00,3992.00,17.03,56.32,0.70,0.00
2020,10,HYDERABAD,COIMBATORE,5906.00,3551.00,13.24,53.69,0.92,0.00
