Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2019,05,HYDERABAD,AGARTALA,222.00,758.00,0.26,0.00,0.00,0.00
2019,06,HYDERABAD,AGARTALA,471.00,486.00,1.32,0.00,0.00,0.00
2019,01,HYDERABAD,AHMEDABAD,36151.00,35967.00,77.31,168.30,0.05,1.23
2019,02,HYDERABAD,AHMEDABAD,32377.00,31931.00,65.16,162.27,0.00,1.17
2019,03,HYDERABAD,AHMEDABAD,34003.00,33528.00,114.58,179.47,0.05,0.98
2019,04,HYDERABAD,AHMEDABAD,30550.00,27757.00,108.50,119.29,0.02,1.97
2019,05,HYDERABAD,AHMEDABAD,27345.00,28957.00,81.47,126.56,0.30,1.17
2019,06,HYDERABAD,AHMEDABAD,25925.00,27714.00,75.61,141.11,0.78,1.81
2019,07,HYDERABAD,AHMEDABAD,27969.00,28453.00,90.84,177.11,4.91,0.74
2019,08,HYDERABAD,AHMEDABAD,28157.00,27681.00,108.56,131.26,3.29,0.89
2019,09,HYDERABAD,AHMEDABAD,21818.00,24537.00,110.92,128.48,1.83,0.82
2019,10,HYDERABAD,AHMEDABAD,27093.00,28340.00,117.19,162.04,2.83,0.68
2019,11,HYDERABAD,AHMEDABAD,32446.00,28655.00,91.79,146.07,1.72,0.86
2019,12,HYDERABAD,AHMEDABAD,30560.00,26330.00,67.99,107.57,4.68,0.74
2019,05,HYDERABAD,AJMER,2145.00,2275.00,0.00,0.00,0.00,0.00
2019,06,HYDERABAD,AJMER,2328.00,2164.00,0.00,0.00,0.00,0.00
2019,07,HYDERABAD,AJMER,2143.00,1725.00,0.00,0.00,0.00,0.00
2019,08,HYDERABAD,AJMER,2481.00,1975.00,0.00,0.00,0.00,0.00
2019,09,HYDERABAD,AJMER,2412.00,1875.00,0.00,0.00,0.00,0.00
2019,10,HYDERABAD,AJMER,2583.00,2161.00,0.20,0.00,0.00,0.00
2019,11,HYDERABAD,AJMER,2494.00,2432.00,0.07,0.00,0.00,0.00
2019,12,HYDERABAD,AJMER,2558.00,2536.00,0.00,0.00,0.00,0.00
2019,01,HYDERABAD,AMRITSAR,4886.00,4603.00,0.30,0.54,0.00,0.00
2019,02,HYDERABAD,AMRITSAR,4497.00,4217.00,8.41,0.19,0.00,0.00
2019,03,HYDERABAD,AMRITSAR,4620.00,4264.00,12.11,0.68,0.00,0.00
2019,04,HYDERABAD,AMRITSAR,4792.00,4036.00,7.87,0.59,0.00,0.00
2019,05,HYDERABAD,AMRITSAR,4167.00,4533.00,8.64,0.07,0.00,0.00
2019,06,HYDERABAD,AMRITSAR,3533.00,5018.00,3.76,5.66,0.00,0.00
2019,07,HYDERABAD,AMRITSAR,3800.00,3604.00,2.90,0.00,0.00,0.00
2019,08,HYDERABAD,AMRITSAR,3945.00,3431.00,0.07,2.74,0.00,0.00
2019,10,HYDERABAD,AMRITSAR,3895.00,3458.00,1.44,0.00,0.00,0.00
2019,11,HYDERABAD,AMRITSAR,4334.00,4576.00,4.73,0.20,0.00,0.00
2019,12,HYDERABAD,AMRITSAR,4585.00,5072.00,0.48,0.00,0.00,0.00
2019,05,HYDERABAD,AURANGABAD,1561.00,1565.00,0.00,0.00,0.00,0.00
2019,06,HYDERABAD,AURANGABAD,1366.00,1326.00,0.00,0.00,0.00,0.00
2019,07,HYDERABAD,AURANGABAD,1612.00,1688.00,0.00,0.00,0.00,0.00
2019,08,HYDERABAD,AURANGABAD,324.00,312.00,0.00,0.00,0.00,0.00
2019,09,HYDERABAD,AURANGABAD,57.00,88.00,0.00,0.00,0.00,0.00
2019,10,HYDERABAD,AURANGABAD,992.00,1199.00,0.00,0.00,0.00,0.00
2019,11,HYDERABAD,AURANGABAD,5348.00,4792.00,1.28,0.00,0.00,0.00
2019,12,HYDERABAD,AURANGABAD,6007.00,6292.00,1.73,0.00,0.00,0.00
2019,05,HYDERABAD,BAGDOGRA,5503.00,5741.00,5.40,13.89,0.00,0.00
2019,06,HYDERABAD,BAGDOGRA,4595.00,5419.00,2.80,25.97,0.00,0.00
2019,07,HYDERABAD,BAGDOGRA,4166.00,4993.00,3.98,11.04,0.00,0.00
2019,08,HYDERABAD,BAGDOGRA,4097.00,3962.00,8.43,14.12,0.00,0.00
2019,09,HYDERABAD,BAGDOGRA,4418.00,4063.00,7.87,19.88,0.00,0.00
2019,10,HYDERABAD,BAGDOGRA,4929.00,4837.00,9.51,11.27,0.00,0.02
