Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2018,01,HYDERABAD,AHMEDABAD,26032.00,26720.00,,,,
2018,02,HYDERABAD,AHMEDABAD,24323.00,24853.00,,,,
2018,03,HYDERABAD,AHMEDABAD,19137.00,19305.00,90.32,122.70,0.17,0.00
2018,04,HYDERABAD,AHMEDABAD,24707.00,23559.00,66.51,118.08,0.28,0.00
2018,05,HYDERABAD,AHMEDABAD,26905.00,29989.00,74.02,145.05,0.23,0.30
2018,06,HYDERABAD,AHMEDABAD,30014.00,29831.00,65.42,170.16,0.07,0.47
2018,07,HYDERABAD,AHMEDABAD,30326.00,30581.00,71.51,186.46,0.37,0.41
2018,08,HYDERABAD,AHMEDABAD,29490.00,28392.00,79.41,145.99,0.26,0.51
2018,09,HYDERABAD,AHMEDABAD,33012.00,31824.00,64.10,149.79,0.07,0.38
2018,10,HYDERABAD,AHMEDABAD,30486.00,28227.00,70.93,193.21,0.04,1.10
2018,11,HYDERABAD,AHMEDABAD,31085.00,28293.00,59.72,164.18,0.00,1.44
2018,12,HYDERABAD,AHMEDABAD,33410.00,33568.00,65.52,184.49,0.00,1.70
2018,09,HYDERABAD,AMRITSAR,998.00,970.00,0.06,1.34,0.00,0.00
2018,10,HYDERABAD,AMRITSAR,3576.00,3239.00,0.42,0.85,0.00,0.00
2018,11,HYDERABAD,AMRITSAR,3916.00,4106.00,0.03,0.78,0.00,0.12
2018,12,HYDERABAD,AMRITSAR,4512.00,5054.00,0.12,0.04,0.00,1.04
2018,01,HYDERABAD,BENGALURU,101004.00,99138.00,,,,
2018,02,HYDERABAD,BENGALURU,93468.00,94705.00,,,,
2018,03,HYDERABAD,BENGALURU,93832.00,93681.00,199.09,171.51,4.47,16.52
2018,04,HYDERABAD,BENGALURU,97211.00,96035.00,181.14,150.53,3.93,12.57
2018,05,HYDERABAD,BENGALURU,102480.00,94024.00,233.54,170.74,3.99,2.54
2018,06,HYDERABAD,BENGALURU,89963.00,83272.00,202.10,152.75,4.67,10.56
2018,07,HYDERABAD,BENGALURU,99952.00,87276.00,164.30,208.74,3.47,15.96
2018,08,HYDERABAD,BENGALURU,96209.00,96426.00,184.30,176.73,1.75,16.26
2018,09,HYDERABAD,BENGALURU,96489.00,97477.00,180.31,267.17,2.27,10.95
2018,10,HYDERABAD,BENGALURU,104331.00,110343.00,184.41,290.24,2.37,13.71
2018,11,HYDERABAD,BENGALURU,104544.00,103123.00,153.68,267.57,2.96,17.58
2018,12,HYDERABAD,BENGALURU,113280.00,113446.00,180.34,262.51,2.11,14.24
2018,05,HYDERABAD,BHOPAL,548.00,672.00,0.00,0.00,0.00,0.00
2018,06,HYDERABAD,BHOPAL,505.00,566.00,0.00,0.00,0.00,0.00
2018,07,HYDERABAD,BHOPAL,731.00,713.00,0.00,0.00,0.00,0.00
2018,08,HYDERABAD,BHOPAL,657.00,632.00,0.00,0.00,0.00,0.00
2018,09,HYDERABAD,BHOPAL,454.00,442.00,0.00,0.00,0.00,0.00
2018,10,HYDERABAD,BHOPAL,107.00,130.00,0.01,0.00,0.00,0.00
2018,01,HYDERABAD,BHUBANESWAR,30043.00,28225.00,,,,
2018,02,HYDERABAD,BHUBANESWAR,25252.00,24603.00,,,,
2018,03,HYDERABAD,BHUBANESWAR,23752.00,25446.00,26.28,9.22,4.26,1.02
2018,04,HYDERABAD,BHUBANESWAR,22968.00,21997.00,24.16,13.04,3.09,1.00
2018,05,HYDERABAD,BHUBANESWAR,22313.00,26943.00,31.10,3.10,2.48,0.92
2018,06,HYDERABAD,BHUBANESWAR,21662.00,22880.00,71.62,9.27,2.95,1.18
2018,07,HYDERABAD,BHUBANESWAR,20145.00,24004.00,77.93,6.92,2.30,1.17
2018,08,HYDERABAD,BHUBANESWAR,20301.00,20957.00,52.84,8.58,2.42,1.48
2018,09,HYDERABAD,BHUBANESWAR,22426.00,22867.00,51.70,10.07,2.82,1.19
2018,10,HYDERABAD,BHUBANESWAR,25283.00,25231.00,56.03,5.91,1.96,0.88
2018,11,HYDERABAD,BHUBANESWAR,18184.00,18559.00,35.95,5.04,2.70,0.91
2018,12,HYDERABAD,BHUBANESWAR,22656.00,22791.00,33.76,11.58,2.59,1.65
2018,01,HYDERABAD,COIMBATORE,11069.00,11491.00,,,,
2018,02,HYDERABAD,COIMBATORE,9748.00,9987.00,,,,
2018,03,HYDERABAD,COIMBATORE,11970.00,12182.00,5.17,16.76,0.00,0.00
2018,04,HYDERABAD,COIMBATORE,8013.00,8315.00,7.10,12.63,0.00,0.00
2018,05,HYDERABAD,COIMBATORE,11860.00,11751.00,8.81,44.42,0.00,0.00
2018,06,HYDERABAD,COIMBATORE,9427.00,10386.00,8.52,24.97,0.00,0.00
2018,07,HYDERABAD,COIMBATORE,10656.00,10774.00,15.07,31.46,0.00,0.00
2018,08,HYDERABAD,COIMBATORE,10981.00,10609.00,17.54,31.13,0.00,0.00
2018,09,HYDERABAD,COIMBATORE,13142.00,13483.00,19.40,40.39,0.00,0.09
2018,10,HYDERABAD,COIMBATORE,15203.00,15328.00,16.81,25.66,0.00,0.00
