Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2022,01,HYDERABAD,AHMEDABAD,12707.00,12050.00,76.46,105.52,6.91,1.75
2022,02,HYDERABAD,AHMEDABAD,13245.00,13507.00,81.97,92.40,5.05,1.38
2022,03,HYDERABAD,AHMEDABAD,16362.00,16442.00,89.98,109.81,4.79,1.50
2022,04,HYDERABAD,AHMEDABAD,15616.00,16018.00,81.15,108.21,5.15,1.13
2022,05,HYDERABAD,AHMEDABAD,15196.00,16814.00,72.50,123.58,4.85,1.23
2022,06,HYDERABAD,AHMEDABAD,14061.00,14151.00,69.59,120.19,4.69,1.21
2022,07,HYDERABAD,AHMEDABAD,12132.00,12759.00,90.28,131.89,5.03,1.29
2022,08,HYDERABAD,AHMEDABAD,13757.00,13836.00,86.66,100.94,5.91,1.34
2022,09,HYDERABAD,AHMEDABAD,14265.00,13266.00,80.09,114.38,6.02,1.20
2022,10,HYDERABAD,AHMEDABAD,14355.00,16815.00,66.40,93.92,7.12,1.02
2022,11,HYDERABAD,AHMEDABAD,21808.00,19827.00,63.87,129.86,6.83,0.80
2022,12,HYDERABAD,AHMEDABAD,18920.00,20088.00,67.85,128.53,6.25,1.00
2022,01,HYDERABAD,AJMER,2472.00,2106.00,0.67,0.00,0.00,0.00
2022,02,HYDERABAD,AJMER,2512.00,2402.00,0.22,0.00,0.00,0.00
2022,03,HYDERABAD,AJMER,2624.00,2499.00,1.04,0.00,0.00,0.00
2022,04,HYDERABAD,AJMER,2318.00,2214.00,1.51,0.00,0.00,0.00
2022,05,HYDERABAD,AJMER,2410.00,2338.00,0.00,0.00,0.00,0.00
2022,06,HYDERABAD,AJMER,2161.00,2038.00,0.23,0.00,0.00,0.00
2022,07,HYDERABAD,AJMER,1015.00,867.00,0.69,0.00,0.00,0.00
2022,08,HYDERABAD,AJMER,78.00,53.00,0.00,0.00,0.00,0.00
2022,01,HYDERABAD,AMRITSAR,405.00,127.00,0.20,0.00,0.00,0.00
2022,02,HYDERABAD,AMRITSAR,346.00,171.00,0.07,0.00,0.00,0.00
2022,03,HYDERABAD,AMRITSAR,381.00,504.00,0.76,0.00,0.00,0.00
2022,05,HYDERABAD,AMRITSAR,233.00,168.00,0.31,0.00,0.00,0.00
2022,06,HYDERABAD,AMRITSAR,137.00,314.00,0.31,0.10,0.00,0.00
2022,07,HYDERABAD,AMRITSAR,122.00,172.00,0.19,0.00,0.00,0.00
2022,10,HYDERABAD,AMRITSAR,3.00,14.00,0.00,0.00,0.00,0.00
2022,11,HYDERABAD,AMRITSAR,225.00,209.00,0.00,1.23,0.00,0.00
2022,12,HYDERABAD,AMRITSAR,281.00,518.00,0.00,1.22,0.00,0.00
2022,01,HYDERABAD,AURANGABAD,1206.00,1260.00,0.22,0.32,0.00,0.00
2022,02,HYDERABAD,AURANGABAD,1071.00,1137.00,0.38,0.17,0.00,0.00
2022,03,HYDERABAD,AURANGABAD,2088.00,2277.00,0.05,0.29,0.00,0.00
2022,04,HYDERABAD,AURANGABAD,2036.00,2201.00,0.08,0.22,0.00,0.00
2022,05,HYDERABAD,AURANGABAD,2076.00,2165.00,0.19,0.03,0.00,0.00
2022,06,HYDERABAD,AURANGABAD,2438.00,2695.00,0.09,0.05,0.00,0.00
2022,07,HYDERABAD,AURANGABAD,2347.00,2820.00,0.26,0.05,0.00,0.00
2022,08,HYDERABAD,AURANGABAD,2224.00,2359.00,0.30,0.11,0.00,0.00
2022,09,HYDERABAD,AURANGABAD,2062.00,2162.00,0.05,0.02,0.00,0.00
2022,10,HYDERABAD,AURANGABAD,2105.00,2435.00,0.10,0.03,0.00,0.00
2022,11,HYDERABAD,AURANGABAD,3547.00,4161.00,0.39,0.77,1.61,0.00
2022,12,HYDERABAD,AURANGABAD,3337.00,4241.00,0.37,0.18,2.15,0.00
2022,01,HYDERABAD,BAGDOGRA,5578.00,5359.00,18.04,23.25,0.03,0.00
2022,02,HYDERABAD,BAGDOGRA,5293.00,4695.00,13.72,19.33,0.00,0.00
2022,03,HYDERABAD,BAGDOGRA,5428.00,5337.00,13.85,14.66,0.00,0.00
2022,04,HYDERABAD,BAGDOGRA,2651.00,2672.00,11.46,9.44,0.00,0.00
2022,05,HYDERABAD,BAGDOGRA,5788.00,5621.00,10.16,28.13,0.00,0.00
2022,06,HYDERABAD,BAGDOGRA,5072.00,5160.00,15.33,47.68,0.00,0.00
2022,07,HYDERABAD,BAGDOGRA,5490.00,5412.00,17.80,29.25,0.00,0.00
2022,08,HYDERABAD,BAGDOGRA,5525.00,5433.00,15.68,30.59,0.10,0.00
2022,09,HYDERABAD,BAGDOGRA,5073.00,4826.00,16.28,34.84,0.00,0.00
2022,10,HYDERABAD,BAGDOGRA,5261.00,5220.00,13.06,20.55,0.00,0.00
2022,11,HYDERABAD,BAGDOGRA,4738.00,5122.00,19.83,18.75,0.05,0.00
2022,12,HYDERABAD,BAGDOGRA,4326.00,4336.00,18.12,14.06,0.00,0.00
2022,01,HYDERABAD,BELGAUM,2252.00,2350.00,0.73,1.89,0.00,0.00
2022,02,HYDERABAD,BELGAUM,3032.00,2948.00,1.06,0.34,0.00,0.00
2022,03,HYDERABAD,BELGAUM,3575.00,3657.00,0.48,1.18,0.00,0.00
2022,04,HYDERABAD,BELGAUM,3733.00,3940.00,5.24,4.09,0.00,0.00
2022,05,HYDERABAD,BELGAUM,3951.00,4136.00,3.18,5.12,0.00,0.00
2022,06,HYDERABAD,BELGAUM,3305.00,3516.00,5.26,3.58,0.00,0.00
2022,07,HYDERABAD,BELGAUM,3056.00,3128.00,4.58,2.45,0.00,0.00
2022,08,HYDERABAD,BELGAUM,2505.00,2420.00,2.73,1.75,0.00,0.00
2022,09,HYDERABAD,BELGAUM,1988.00,2135.00,0.78,0.75,0.00,0.00
2022,10,HYDERABAD,BELGAUM,3468.00,3788.00,0.52,5.03,0.00,0.00
2022,11,HYDERABAD,BELGAUM,1915.00,1873.00,0.03,0.29,0.00,0.00
2022,12,HYDERABAD,BELGAUM,1790.00,1876.00,0.06,0.15,0.00,0.00
2022,01,HYDERABAD,BENGALURU,32410.00,30702.00,73.48,146.74,12.66,29.36
2022,02,HYDERABAD,BENGALURU,46362.00,43190.00,77.77,115.21,8.74,30.20
2022,03,HYDERABAD,BENGALURU,65185.00,63044.00,91.78,86.66,9.70,30.62
2022,04,HYDERABAD,BENGALURU,61833.00,62003.00,113.78,88.40,14.16,25.84
2022,05,HYDERABAD,BENGALURU,68135.00,61141.00,135.46,92.10,12.12,26.38
2022,06,HYDERABAD,BENGALURU,59637.00,62705.00,114.89,97.86,17.49,24.81
2022,07,HYDERABAD,BENGALURU,58247.00,58000.00,156.16,166.53,27.00,32.86
2022,08,HYDERABAD,BENGALURU,63541.00,61089.00,176.01,122.06,30.40,24.68
2022,09,HYDERABAD,BENGALURU,64654.00,65318.00,171.13,145.57,25.48,17.15
2022,10,HYDERABAD,BENGALURU,66357.00,70114.00,124.72,141.05,30.20,18.70
2022,11,HYDERABAD,BENGALURU,80970.00,75235.00,121.18,107.15,27.89,22.63
2022,12,HYDERABAD,BENGALURU,85785.00,88518.00,102.56,113.90,31.42,23.21
