Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2023,01,HYDERABAD,AHMEDABAD,21117.00,22172.00,56.88,132.09,6.03,0.87
2023,02,HYDERABAD,AHMEDABAD,22508.00,24061.00,61.38,136.02,6.24,0.98
2023,03,HYDERABAD,AHMEDABAD,22042.00,23307.00,81.65,168.37,7.12,1.01
2023,04,HYDERABAD,AHMEDABAD,26114.00,24616.00,82.95,163.37,6.36,0.89
2023,05,HYDERABAD,AHMEDABAD,30394.00,33343.00,124.14,186.65,8.43,1.07
2023,06,HYDERABAD,AHMEDABAD,18479.00,19429.00,90.69,128.32,11.58,1.09
2023,07,HYDERABAD,AHMEDABAD,16473.00,16404.00,63.54,128.02,6.25,1.46
2023,08,HYDERABAD,AHMEDABAD,16787.00,16400.00,73.87,154.44,7.78,1.35
2023,09,HYDERABAD,AHMEDABAD,19986.00,19701.00,74.62,138.21,6.64,0.91
2023,10,HYDERABAD,AHMEDABAD,17448.00,17711.00,69.06,124.58,6.80,0.75
2023,11,HYDERABAD,AHMEDABAD,18075.00,19051.00,80.59,134.21,6.49,1.20
2023,12,HYDERABAD,AHMEDABAD,19247.00,19970.00,59.90,154.57,7.70,0.28
2023,01,HYDERABAD,AMRITSAR,42.00,79.00,0.00,0.02,0.00,0.00
2023,02,HYDERABAD,AMRITSAR,497.00,452.00,0.00,0.00,0.00,0.00
2023,03,HYDERABAD,AMRITSAR,266.00,439.00,0.00,0.00,0.00,0.00
2023,11,HYDERABAD,AMRITSAR,1704.00,2250.00,0.00,0.11,0.00,0.00
2023,12,HYDERABAD,AMRITSAR,3886.00,4741.00,0.00,0.00,0.00,0.00
2023,01,HYDERABAD,AURANGABAD,3518.00,3948.00,0.03,0.00,2.21,0.00
2023,02,HYDERABAD,AURANGABAD,3300.00,3732.00,0.13,0.00,1.19,0.00
2023,03,HYDERABAD,AURANGABAD,3539.00,3851.00,0.05,0.00,2.47,0.00
2023,04,HYDERABAD,AURANGABAD,3883.00,4069.00,0.05,0.00,1.47,0.00
2023,05,HYDERABAD,AURANGABAD,4063.00,4335.00,0.35,0.00,1.05,0.00
2023,06,HYDERABAD,AURANGABAD,3843.00,3996.00,0.09,0.00,0.51,0.00
2023,07,HYDERABAD,AURANGABAD,3786.00,4000.00,0.26,0.00,1.00,0.00
2023,08,HYDERABAD,AURANGABAD,3697.00,3803.00,0.10,0.00,0.39,0.00
2023,09,HYDERABAD,AURANGABAD,3610.00,3631.00,0.30,0.00,0.38,0.00
2023,10,HYDERABAD,AURANGABAD,3460.00,3774.00,0.23,0.00,0.46,0.00
2023,11,HYDERABAD,AURANGABAD,3609.00,4037.00,0.17,0.00,0.73,0.00
2023,12,HYDERABAD,AURANGABAD,3805.00,4244.00,0.29,0.00,0.37,0.00
2023,01,HYDERABAD,BAGDOGRA,4603.00,4845.00,12.31,15.32,0.00,0.00
2023,02,HYDERABAD,BAGDOGRA,4538.00,4492.00,12.42,16.39,0.00,0.00
2023,03,HYDERABAD,BAGDOGRA,6501.00,5784.00,18.21,16.56,0.02,0.00
2023,04,HYDERABAD,BAGDOGRA,11230.00,8994.00,9.96,21.76,0.33,0.00
2023,05,HYDERABAD,BAGDOGRA,11401.00,10273.00,13.40,26.43,0.03,0.00
2023,06,HYDERABAD,BAGDOGRA,11126.00,9875.00,28.82,28.50,0.02,0.00
2023,07,HYDERABAD,BAGDOGRA,8770.00,9525.00,15.00,17.75,0.00,0.00
2023,08,HYDERABAD,BAGDOGRA,9756.00,9198.00,18.27,15.92,0.40,0.00
2023,09,HYDERABAD,BAGDOGRA,9894.00,9073.00,16.96,26.15,1.62,0.00
2023,10,HYDERABAD,BAGDOGRA,10087.00,7342.00,8.95,19.91,0.04,0.00
