Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2024,09,HYDERABAD,AGARTALA,789.00,604.00,0.18,0.01,0.00,0.00
2024,10,HYDERABAD,AGARTALA,2899.00,2441.00,1.35,0.03,0.00,0.00
2024,11,HYDERABAD,AGARTALA,2826.00,2601.00,2.21,1.46,0.00,0.00
2024,12,HYDERABAD,AGARTALA,3047.00,2951.00,2.51,16.96,0.00,0.00
2024,02,HYDERABAD,AGRA,0.00,157.00,0.00,0.00,0.00,0.00
2024,09,HYDERABAD,AGRA,159.00,95.00,0.00,0.05,0.00,0.00
2024,10,HYDERABAD,AGRA,2147.00,1768.00,0.30,0.54,0.00,0.00
2024,11,HYDERABAD,AGRA,1926.00,2295.00,0.15,0.15,0.00,0.00
2024,12,HYDERABAD,AGRA,1941.00,2218.00,0.19,0.41,0.00,0.00
2024,01,HYDERABAD,AHMEDABAD,17622.00,17950.00,57.66,128.79,7.06,0.37
2024,02,HYDERABAD,AHMEDABAD,16486.00,17189.00,77.06,140.04,6.61,0.61
2024,03,HYDERABAD,AHMEDABAD,17985.00,18741.00,79.47,155.12,5.62,0.21
2024,04,HYDERABAD,AHMEDABAD,17751.00,16928.00,71.09,141.46,4.41,0.17
2024,06,HYDERABAD,AHMEDABAD,15920.00,17964.00,85.25,179.81,6.17,0.39
2024,07,HYDERABAD,AHMEDABAD,17816.00,18363.00,70.40,183.62,6.88,0.31
2024,08,HYDERABAD,AHMEDABAD,19178.00,19710.00,70.95,182.49,6.99,0.41
2024,09,HYDERABAD,AHMEDABAD,18374.00,17912.00,69.93,171.52,8.07,0.62
2024,10,HYDERABAD,AHMEDABAD,21027.00,24823.00,87.11,229.50,9.05,0.64
2024,11,HYDERABAD,AHMEDABAD,23251.00,23752.00,70.47,154.09,5.61,0.55
2024,12,HYDERABAD,AHMEDABAD,22805.00,25527.00,112.02,179.96,6.05,0.57
2024,09,HYDERABAD,ALLAHABAD,166.00,145.00,0.03,0.00,0.00,0.01
2024,10,HYDERABAD,ALLAHABAD,2198.00,1584.00,0.80,0.01,0.00,0.78
2024,11,HYDERABAD,ALLAHABAD,2101.00,2102.00,0.12,0.00,0.00,0.43
2024,12,HYDERABAD,ALLAHABAD,2024.00,2202.00,0.01,0.00,0.00,0.34
2024,01,HYDERABAD,AMRITSAR,4378.00,3870.00,0.00,0.00,0.00,0.00
2024,02,HYDERABAD,AMRITSAR,3597.00,3480.00,0.15,0.00,0.00,0.00
2024,03,HYDERABAD,AMRITSAR,4586.00,4732.00,16.14,0.00,0.00,0.00
2024,04,HYDERABAD,AMRITSAR,8926.00,9558.00,0.33,3.02,0.11,0.00
2024,06,HYDERABAD,AMRITSAR,8519.00,9879.00,1.11,2.94,0.94,0.00
2024,07,HYDERABAD,AMRITSAR,6888.00,6439.00,0.48,6.38,0.77,0.00
2024,08,HYDERABAD,AMRITSAR,8363.00,7173.00,1.73,0.00,0.89,0.00
2024,09,HYDERABAD,AMRITSAR,7223.00,6558.00,4.46,0.47,1.19,0.00
2024,10,HYDERABAD,AMRITSAR,8294.00,6834.00,0.32,14.48,0.76,0.00
2024,11,HYDERABAD,AMRITSAR,4682.00,4890.00,0.42,0.00,0.93,0.00
2024,12,HYDERABAD,AMRITSAR,4561.00,5146.00,0.05,7.97,0.59,0.00
2024,01,HYDERABAD,AURANGABAD,3377.00,4077.00,0.28,0.00,0.24,0.00
2024,02,HYDERABAD,AURANGABAD,3265.00,3772.00,0.26,0.00,0.16,0.00
2024,03,HYDERABAD,AURANGABAD,3389.00,4283.00,0.22,0.00,0.11,0.00
2024,04,HYDERABAD,AURANGABAD,3112.00,3763.00,0.18,0.00,0.32,0.00
2024,06,HYDERABAD,AURANGABAD,3153.00,4101.00,0.69,0.00,0.07,0.00
2024,07,HYDERABAD,AURANGABAD,3381.00,4159.00,1.41,0.00,0.22,0.00
2024,08,HYDERABAD,AURANGABAD,3348.00,4265.00,1.19,0.00,0.05,0.00
2024,09,HYDERABAD,AURANGABAD,3194.00,3929.00,1.87,0.00,0.10,0.00
2024,10,HYDERABAD,AURANGABAD,3584.00,4107.00,0.48,0.00,0.12,0.00
2024,11,HYDERABAD,AURANGABAD,4102.00,4293.00,0.17,0.00,0.12,0.00
2024,12,HYDERABAD,AURANGABAD,4263.00,4442.00,0.16,0.00,0.27,0.00
2024,01,HYDERABAD,BAGDOGRA,5435.00,5401.00,8.42,18.28,0.09,0.13
2024,02,HYDERABAD,BAGDOGRA,5066.00,4967.00,11.63,26.00,0.15,0.00
2024,03,HYDERABAD,BAGDOGRA,5525.00,5263.00,9.71,22.36,0.05,0.00
2024,04,HYDERABAD,BAGDOGRA,11264.00,9465.00,12.19,25.22,0.10,0.00
2024,06,HYDERABAD,BAGDOGRA,12472.00,13231.00,12.98,41.13,0.00,0.00
2024,07,HYDERABAD,BAGDOGRA,9668.00,13368.00,13.08,24.25,0.00,0.00
2024,08,HYDERABAD,BAGDOGRA,10178.00,12237.00,25.69,36.59,0.01,0.00
2024,09,HYDERABAD,BAGDOGRA,12282.00,10496.00,20.55,101.27,0.00,0.00
2024,10,HYDERABAD,BAGDOGRA,14979.00,11648.00,20.07,31.72,0.40,0.21
2024,11,HYDERABAD,BAGDOGRA,14054.00,13982.00,20.61,31.92,0.14,0.04
2024,12,HYDERABAD,BAGDOGRA,14950.00,14912.00,20.32,35.16,0.01,0.60
2024,01,HYDERABAD,BELGAUM,1515.00,1564.00,0.01,0.06,0.00,0.00
2024,02,HYDERABAD,BELGAUM,1449.00,1482.00,0.03,0.04,0.00,0.00
2024,03,HYDERABAD,BELGAUM,1427.00,1539.00,0.04,0.02,0.00,0.00
2024,04,HYDERABAD,BELGAUM,1739.00,1525.00,0.02,0.00,0.00,0.00
2024,06,HYDERABAD,BELGAUM,1553.00,1815.00,0.00,0.00,0.00,0.00
2024,07,HYDERABAD,BELGAUM,1605.00,1706.00,0.01,0.00,0.00,0.00
2024,08,HYDERABAD,BELGAUM,1854.00,1876.00,0.00,0.01,0.00,0.00
2024,09,HYDERABAD,BELGAUM,1813.00,1804.00,0.00,0.08,0.00,0.00
2024,10,HYDERABAD,BELGAUM,1752.00,1865.00,0.00,0.05,0.00,0.00
2024,11,HYDERABAD,BELGAUM,2065.00,1996.00,0.02,0.04,0.00,0.00
2024,12,HYDERABAD,BELGAUM,2163.00,2091.00,0.00,0.05,0.00,0.00
2024,01,HYDERABAD,BENGALURU,92409.00,88636.00,195.56,403.59,28.92,18.23
2024,02,HYDERABAD,BENGALURU,90781.00,89404.00,392.47,514.32,30.99,11.08
2024,03,HYDERABAD,BENGALURU,90281.00,92431.00,361.04,525.98,26.74,13.15
2024,04,HYDERABAD,BENGALURU,97164.00,100190.00,415.04,443.60,29.78,14.63
2024,06,HYDERABAD,BENGALURU,87964.00,92263.00,209.07,430.37,34.08,14.90
2024,07,HYDERABAD,BENGALURU,91704.00,91988.00,344.63,663.65,29.67,17.03
2024,08,HYDERABAD,BENGALURU,97547.00,97638.00,178.98,680.72,31.36,14.25
2024,09,HYDERABAD,BENGALURU,91911.00,93420.00,160.05,658.47,27.64,9.32
2024,10,HYDERABAD,BENGALURU,89388.00,96543.00,191.02,603.75,19.46,27.25
