Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
2025,01,HYDERABAD,AGARTALA,3103.00,2757.00,1.19,19.24,0.00,0.00
2025,02,HYDERABAD,AGARTALA,2606.00,2577.00,3.34,21.16,0.00,0.00
2025,03,HYDERABAD,AGARTALA,2959.00,2742.00,1.51,0.11,0.00,0.00
2025,04,HYDERABAD,AGARTALA,3002.00,2771.00,5.69,0.04,0.00,0.00
2025,05,HYDERABAD,AGARTALA,3034.00,2866.00,21.10,2.33,0.01,0.00
2025,06,HYDERABAD,AGARTALA,2849.00,3056.00,10.98,0.04,0.00,0.00
2025,07,HYDERABAD,AGARTALA,2631.00,2879.00,2.09,0.12,0.00,0.00
2025,08,HYDERABAD,AGARTALA,2814.00,2869.00,1.12,3.02,0.00,0.00
2025,09,HYDERABAD,AGARTALA,3092.00,2509.00,2.99,0.35,0.00,0.00
2025,10,HYDERABAD,AGARTALA,3517.00,3446.00,14.01,0.15,0.00,0.00
2025,01,HYDERABAD,AGRA,1925.00,2053.00,0.51,0.01,0.00,0.00
2025,02,HYDERABAD,AGRA,2028.00,2008.00,0.49,0.02,0.00,0.00
2025,03,HYDERABAD,AGRA,2100.00,2025.00,0.35,0.02,0.00,0.00
2025,04,HYDERABAD,AGRA,2149.00,2067.00,3.04,0.18,0.00,0.00
2025,05,HYDERABAD,AGRA,2087.00,2421.00,4.31,0.20,0.00,0.00
2025,06,HYDERABAD,AGRA,1904.00,1982.00,5.04,0.04,0.00,0.00
2025,07,HYDERABAD,AGRA,2006.00,2018.00,4.07,0.12,0.00,0.00
2025,08,HYDERABAD,AGRA,2045.00,1829.00,2.59,0.14,0.00,0.00
2025,09,HYDERABAD,AGRA,1734.00,1386.00,4.80,1.44,0.00,0.00
2025,10,HYDERABAD,AGRA,2005.00,1773.00,2.26,1.44,0.00,0.00
2025,01,HYDERABAD,AHMEDABAD,24046.00,27134.00,100.69,172.37,17.09,0.31
2025,02,HYDERABAD,AHMEDABAD,21570.00,24219.00,76.20,165.94,2.56,0.52
2025,03,HYDERABAD,AHMEDABAD,24094.00,26053.00,93.48,187.40,2.81,0.59
2025,04,HYDERABAD,AHMEDABAD,30014.00,25691.00,154.24,181.71,3.54,0.13
2025,05,HYDERABAD,AHMEDABAD,28059.00,33905.00,94.80,190.59,2.72,0.16
2025,06,HYDERABAD,AHMEDABAD,25515.00,28647.00,87.79,168.31,3.79,0.09
2025,07,HYDERABAD,AHMEDABAD,21166.00,21296.00,106.79,194.49,4.74,0.21
2025,08,HYDERABAD,AHMEDABAD,23930.00,24356.00,103.67,180.51,3.48,0.05
2025,09,HYDERABAD,AHMEDABAD,23377.00,20015.00,103.49,167.42,3.88,0.19
2025,10,HYDERABAD,AHMEDABAD,25682.00,32203.00,111.25,187.00,2.52,2.50
2025,01,HYDERABAD,AMRITSAR,5217.00,4258.00,0.23,5.09,0.69,0.00
2025,02,HYDERABAD,AMRITSAR,4790.00,4114.00,0.41,0.88,0.64,0.00
2025,03,HYDERABAD,AMRITSAR,5066.00,4879.00,0.56,0.87,0.95,0.00
2025,04,HYDERABAD,AMRITSAR,5765.00,5705.00,5.93,7.63,0.79,0.00
2025,05,HYDERABAD,AMRITSAR,2252.00,2767.00,0.82,8.98,0.56,0.00
2025,06,HYDERABAD,AMRITSAR,1393.00,2485.00,1.70,7.66,0.38,0.00
2025,07,HYDERABAD,AMRITSAR,3355.00,2709.00,5.18,5.73,0.82,0.00
2025,08,HYDERABAD,AMRITSAR,3332.00,3235.00,0.80,2.74,0.04,0.00
2025,09,HYDERABAD,AMRITSAR,2587.00,1980.00,0.38,13.80,0.11,0.00
2025,10,HYDERABAD,AMRITSAR,3674.00,3353.00,0.39,11.51,0.32,0.00
2025,01,HYDERABAD,AURANGABAD,4247.00,4436.00,0.38,0.00,0.13,0.00
2025,02,HYDERABAD,AURANGABAD,3893.00,4151.00,0.17,0.00,0.15,0.00
2025,03,HYDERABAD,AURANGABAD,3984.00,4367.00,0.24,0.00,0.59,0.00
2025,04,HYDERABAD,AURANGABAD,3756.00,4349.00,0.38,0.00,0.18,0.00
2025,05,HYDERABAD,AURANGABAD,4196.00,4452.00,0.71,0.00,0.14,0.00
2025,06,HYDERABAD,AURANGABAD,4145.00,4288.00,1.30,0.00,0.08,0.00
2025,07,HYDERABAD,AURANGABAD,2199.00,2040.00,0.39,0.00,0.07,0.00
2025,08,HYDERABAD,AURANGABAD,2223.00,2131.00,0.17,0.00,0.00,0.00
2025,09,HYDERABAD,AURANGABAD,2033.00,1961.00,0.09,0.00,0.06,0.00
2025,10,HYDERABAD,AURANGABAD,3031.00,3522.00,0.03,0.00,0.00,0.00
2025,01,HYDERABAD,BAGDOGRA,13001.00,13046.00,17.35,26.87,0.30,0.33
2025,02,HYDERABAD,BAGDOGRA,13751.00,11902.00,15.10,17.64,0.25,0.63
2025,03,HYDERABAD,BAGDOGRA,14150.00,13184.00,16.93,19.13,0.31,0.66
2025,04,HYDERABAD,BAGDOGRA,16587.00,15274.00,12.46,23.85,4.17,0.65
2025,05,HYDERABAD,BAGDOGRA,20423.00,19515.00,16.33,30.25,0.12,0.66
2025,06,HYDERABAD,BAGDOGRA,16978.00,21802.00,15.65,38.60,0.07,0.48
2025,07,HYDERABAD,BAGDOGRA,9561.00,10214.00,18.63,18.63,0.04,0.56
2025,08,HYDERABAD,BAGDOGRA,11000.00,11354.00,10.38,26.31,0.04,0.76
2025,09,HYDERABAD,BAGDOGRA,14639.00,11800.00,11.26,23.13,0.00,0.97
2025,10,HYDERABAD,BAGDOGRA,16626.00,15190.00,10.24,37.83,0.00,0.69
2025,01,HYDERABAD,BELGAUM,1991.00,2049.00,0.02,0.04,0.00,0.00
2025,02,HYDERABAD,BELGAUM,1927.00,1868.00,0.00,0.16,0.00,0.00
2025,03,HYDERABAD,BELGAUM,2041.00,2015.00,0.00,0.01,0.00,0.00
2025,04,HYDERABAD,BELGAUM,1790.00,1711.00,0.01,0.03,0.00,0.00
2025,05,HYDERABAD,BELGAUM,2039.00,1881.00,0.01,0.00,0.00,0.00
2025,06,HYDERABAD,BELGAUM,1925.00,1851.00,0.05,0.01,0.00,0.00
2025,07,HYDERABAD,BELGAUM,1837.00,1795.00,0.02,0.00,0.00,0.00
2025,08,HYDERABAD,BELGAUM,1839.00,1824.00,0.19,0.06,0.00,0.00
2025,09,HYDERABAD,BELGAUM,1994.00,2061.00,0.04,0.11,0.00,0.00
2025,10,HYDERABAD,BELGAUM,2097.00,2107.00,0.03,0.09,0.00,0.00
2025,01,HYDERABAD,BENGALURU,98008.00,96188.00,317.11,414.23,39.44,62.18
2025,02,HYDERABAD,BENGALURU,91552.00,93484.00,270.36,421.42,23.70,31.99
2025,03,HYDERABAD,BENGALURU,101042.00,104936.00,265.91,512.57,22.14,62.92
2025,04,HYDERABAD,BENGALURU,103359.00,103811.00,208.99,450.49,15.56,17.55
2025,05,HYDERABAD,BENGALURU,117928.00,111354.00,158.68,437.71,19.54,20.37
2025,06,HYDERABAD,BENGALURU,107096.00,106410.00,316.00,525.96,20.64,22.93
2025,07,HYDERABAD,BENGALURU,105584.00,103027.00,201.82,650.23,22.65,28.19
2025,08,HYDERABAD,BENGALURU,102754.00,101005.00,234.67,602.24,16.74,26.45
2025,09,HYDERABAD,BENGALURU,86999.00,93294.00,204.87,594.73,17.61,30.20
2025,10,HYDERABAD,BENGALURU,92340.00,94513.00,181.68,658.24,19.69,31.59
2025,01,HYDERABAD,BHOPAL,3666.00,3652.00,0.08,0.00,0.99,0.00
2025,02,HYDERABAD,BHOPAL,4014.00,4040.00,0.05,0.05,0.37,0.00
2025,03,HYDERABAD,BHOPAL,4387.00,4145.00,0.15,0.00,1.04,0.00
2025,04,HYDERABAD,BHOPAL,6180.00,5639.00,0.22,0.10,1.98,0.47
2025,05,HYDERABAD,BHOPAL,5678.00,6094.00,0.12,0.00,2.12,0.71
2025,06,HYDERABAD,BHOPAL,5747.00,6035.00,0.37,0.00,1.98,0.68
2025,07,HYDERABAD,BHOPAL,4106.00,4083.00,0.78,0.00,1.73,0.43
2025,08,HYDERABAD,BHOPAL,2114.00,2283.00,0.02,0.00,0.90,0.48
2025,09,HYDERABAD,BHOPAL,2091.00,2116.00,0.02,0.07,1.45,0.41
2025,10,HYDERABAD,BHOPAL,3817.00,3872.00,0.27,0.02,0.94,0.59
2025,01,HYDERABAD,BHUBANESWAR,26457.00,26307.00,60.43,10.67,10.48,1.24
2025,02,HYDERABAD,BHUBANESWAR,23285.00,21874.00,38.03,6.24,7.99,0.69
2025,03,HYDERABAD,BHUBANESWAR,25060.00,23425.00,58.64,5.54,10.02,0.63
2025,04,HYDERABAD,BHUBANESWAR,27076.00,22777.00,45.45,6.58,16.19,0.60
2025,05,HYDERABAD,BHUBANESWAR,26317.00,27235.00,41.53,7.46,8.21,0.77
