Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2022,1,HYDERABAD,ABUDHABI,17014,16946,286.58,112.16
2022,2,HYDERABAD,ABUDHABI,17154,14655,278.42,217.95
2022,3,HYDERABAD,ABUDHABI,30397,25076,483.58,408.90
2022,4,HYDERABAD,ABUDHABI,31756,31363,397.02,314.61
2022,1,HYDERABAD,BAHRAIN,6030,3830,154.66,0.96
2022,2,HYDERABAD,BAHRAIN,11093,10273,117.89,3.48
2022,3,HYDERABAD,BAHRAIN,14248,8318,97.30,5.72
2022,4,HYDERABAD,BAHRAIN,12813,13907,122.17,5.12
2022,1,HYDERABAD,BANGKOK,0,0,29.17,0.00
2022,2,HYDERABAD,BANGKOK,6443,6048,0.00,0.00
2022,3,HYDERABAD,BANGKOK,11154,10357,0.00,0.00
2022,4,HYDERABAD,BANGKOK,17414,17275,459.68,146.75
2022,1,HYDERABAD,CHICAGO,2381,2199,87.75,20.65
2022,1,HYDERABAD,COLOMBO,6915,6004,95.30,6.86
2022,2,HYDERABAD,COLOMBO,6555,5955,140.74,5.37
2022,3,HYDERABAD,COLOMBO,6287,4209,59.82,3.85
2022,4,HYDERABAD,COLOMBO,5005,5132,95.52,2.88
2022,1,HYDERABAD,DAMMAM,4980,2249,12.65,0.12
2022,2,HYDERABAD,DAMMAM,16593,13623,44.12,0.00
2022,3,HYDERABAD,DAMMAM,18328,12854,20.62,0.75
2022,4,HYDERABAD,DAMMAM,16824,14863,3.76,0.32
2022,2,HYDERABAD,DHAKA,2194,2973,37.57,22.97
2022,3,HYDERABAD,DHAKA,2685,3067,27.33,15.03
2022,4,HYDERABAD,DHAKA,2524,3226,4.96,6.54
2022,1,HYDERABAD,DOHA,48275,43752,2893.18,2538.19
2022,2,HYDERABAD,DOHA,41367,44727,2731.48,2126.44
2022,3,HYDERABAD,DOHA,46298,40248,2390.60,1764.44
2022,4,HYDERABAD,DOHA,44453,59728,2640.58,1266.65
2022,1,HYDERABAD,DUBAI,70509,66251,3574.34,576.31
2022,2,HYDERABAD,DUBAI,121640,121461,3742.41,561.98
2022,3,HYDERABAD,DUBAI,133934,106983,3322.81,674.78
2022,4,HYDERABAD,DUBAI,116540,130986,3074.34,562.85
2022,2,HYDERABAD,FRANKFURT,0,236,0.00,8.07
2022,4,HYDERABAD,FRANKFURT,0,0,543.22,0.00
2022,1,HYDERABAD,HONG KONG,0,0,383.55,228.09
2022,2,HYDERABAD,HONG KONG,0,0,429.30,217.91
2022,1,HYDERABAD,ISTANBUL,0,0,2329.70,597.42
2022,2,HYDERABAD,ISTANBUL,0,0,2122.16,600.84
2022,3,HYDERABAD,ISTANBUL,0,0,2028.47,588.24
2022,4,HYDERABAD,ISTANBUL,0,0,1893.01,481.81
2022,1,HYDERABAD,JEDDAH,10563,6090,342.88,31.31
2022,2,HYDERABAD,JEDDAH,16030,20460,435.75,19.32
2022,3,HYDERABAD,JEDDAH,23415,18921,324.92,22.26
2022,4,HYDERABAD,JEDDAH,25961,26918,271.92,12.15
2022,1,HYDERABAD,KUALALUMPUR,1710,897,5.62,29.37
2022,2,HYDERABAD,KUALALUMPUR,10707,10631,218.74,166.34
2022,3,HYDERABAD,KUALALUMPUR,17084,14404,350.57,173.81
2022,4,HYDERABAD,KUALALUMPUR,20745,25306,574.86,281.93
2022,1,HYDERABAD,KUWAIT,21057,14031,370.87,13.55
2022,2,HYDERABAD,KUWAIT,17872,19000,321.21,24.84
2022,3,HYDERABAD,KUWAIT,20659,15639,216.76,9.01
2022,4,HYDERABAD,KUWAIT,16542,16558,189.31,1.76
2022,1,HYDERABAD,LONDON,6031,4752,138.97,118.63
2022,2,HYDERABAD,LONDON,18309,16944,955.98,509.26
2022,3,HYDERABAD,LONDON,26272,21393,1088.65,738.00
2022,4,HYDERABAD,LONDON,20956,25475,1101.46,714.87
2022,1,HYDERABAD,MALE,2527,2174,12.72,0.15
2022,3,HYDERABAD,MEDINA,0,491,0.00,0.00
2022,1,HYDERABAD,MUSCAT,15558,10732,173.14,10.46
2022,2,HYDERABAD,MUSCAT,16630,18687,213.31,30.64
2022,3,HYDERABAD,MUSCAT,25921,19598,275.36,5.25
2022,4,HYDERABAD,MUSCAT,21686,26122,859.77,16.49
2022,1,HYDERABAD,RIYADH,11513,7504,238.18,8.80
2022,2,HYDERABAD,RIYADH,20400,20222,370.78,28.84
2022,3,HYDERABAD,RIYADH,27128,18673,271.95,6.24
2022,4,HYDERABAD,RIYADH,21161,21850,235.34,11.52
2022,1,HYDERABAD,SHARJAH,38729,31879,345.68,0.97
2022,2,HYDERABAD,SHARJAH,26431,29436,268.34,2.25
2022,3,HYDERABAD,SHARJAH,29730,27632,278.92,4.69
2022,4,HYDERABAD,SHARJAH,28125,31905,303.20,3.99
2022,1,HYDERABAD,SINGAPORE,5598,4496,83.26,14.50
2022,2,HYDERABAD,SINGAPORE,25084,25483,86.34,48.00
2022,3,HYDERABAD,SINGAPORE,31065,28102,562.44,81.41
2022,4,HYDERABAD,SINGAPORE,32323,34821,350.25,174.82
