Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2016,1,HYDERABAD,ABUDHABI,47985,42103,273.84,138.81
2016,2,HYDERABAD,ABUDHABI,46336,48996,461.38,59.79
2016,3,HYDERABAD,ABUDHABI,49052,54807,372.76,206.93
2016,4,HYDERABAD,ABUDHABI,42026,50013,588.17,100.41
2016,1,HYDERABAD,BAHRAIN,13408,11881,0.01,2.65
2016,2,HYDERABAD,BAHRAIN,12103,12175,0.05,4.73
2016,3,HYDERABAD,BAHRAIN,12270,12406,63.55,1.99
2016,4,HYDERABAD,BAHRAIN,12273,12730,188.02,3.83
2016,1,HYDERABAD,BANGKOK,13204,12274,547.54,450.25
2016,2,HYDERABAD,BANGKOK,14668,13709,481.09,527.90
2016,3,HYDERABAD,BANGKOK,13450,12828,451.71,592.20
2016,4,HYDERABAD,BANGKOK,15752,14807,550.67,700.78
2016,1,HYDERABAD,CHICAGO,5295,4366,0.00,3.63
2016,2,HYDERABAD,CHICAGO,4776,5249,0.00,9.65
2016,3,HYDERABAD,CHICAGO,6906,6321,0.41,15.79
2016,4,HYDERABAD,CHICAGO,2833,4615,0.00,27.42
2016,1,HYDERABAD,DAMMAM,1689,1208,13.68,3.05
2016,2,HYDERABAD,DAMMAM,1898,2049,30.85,0.98
2016,3,HYDERABAD,DAMMAM,9486,7808,62.59,0.39
2016,4,HYDERABAD,DAMMAM,7717,10059,28.82,2.00
2016,1,HYDERABAD,DOHA,15287,13139,1219.57,380.02
2016,2,HYDERABAD,DOHA,14682,13601,1498.14,380.73
2016,3,HYDERABAD,DOHA,15331,15870,1267.85,364.26
2016,4,HYDERABAD,DOHA,14472,15979,1672.61,383.37
2016,1,HYDERABAD,DUBAI,124726,111846,3821.55,795.86
2016,2,HYDERABAD,DUBAI,125215,129034,4090.88,816.40
2016,3,HYDERABAD,DUBAI,135118,126526,3942.41,774.98
2016,4,HYDERABAD,DUBAI,118138,130094,4746.52,1124.89
2016,1,HYDERABAD,FRANKFURT,0,0,1348.91,341.39
2016,2,HYDERABAD,FRANKFURT,0,0,1460.11,297.30
2016,3,HYDERABAD,FRANKFURT,0,0,1765.55,357.12
2016,4,HYDERABAD,FRANKFURT,0,0,1493.59,322.27
2016,1,HYDERABAD,HONG KONG,9590,7032,1250.84,524.21
2016,2,HYDERABAD,HONG KONG,10997,10341,1438.45,818.95
2016,3,HYDERABAD,HONG KONG,9015,8121,935.04,665.46
2016,4,HYDERABAD,HONG KONG,7210,9784,1220.52,729.43
2016,1,HYDERABAD,JEDDAH,19113,17185,286.75,19.90
2016,2,HYDERABAD,JEDDAH,21530,21533,458.80,14.15
2016,3,HYDERABAD,JEDDAH,17696,18845,242.01,27.76
2016,4,HYDERABAD,JEDDAH,18207,17600,254.24,46.28
2016,1,HYDERABAD,KUALALUMPUR,22892,21373,179.06,131.95
2016,2,HYDERABAD,KUALALUMPUR,23880,24569,197.45,138.16
2016,3,HYDERABAD,KUALALUMPUR,18167,18410,124.11,146.71
2016,4,HYDERABAD,KUALALUMPUR,20832,21768,122.72,220.34
2016,1,HYDERABAD,KUWAIT,1833,1962,0.00,5.06
2016,2,HYDERABAD,KUWAIT,1731,1759,0.94,0.71
2016,3,HYDERABAD,KUWAIT,1678,2056,0.07,0.26
2016,4,HYDERABAD,KUWAIT,1393,1823,1.63,0.60
2016,1,HYDERABAD,LONDON,16863,14663,913.00,495.00
2016,2,HYDERABAD,LONDON,18217,14681,604.26,361.16
2016,3,HYDERABAD,LONDON,18269,16923,847.90,406.86
2016,4,HYDERABAD,LONDON,14565,17946,600.85,361.93
2016,1,HYDERABAD,MEDINA,0,0,0.00,0.00
2016,2,HYDERABAD,MEDINA,0,293,0.00,0.00
2016,3,HYDERABAD,MEDINA,0,0,0.00,0.00
2016,4,HYDERABAD,MEDINA,0,592,0.00,0.00
2016,4,HYDERABAD,MOSCOW,0,183,0.00,0.00
2016,1,HYDERABAD,MUSCAT,27635,29970,213.17,13.91
2016,2,HYDERABAD,MUSCAT,27565,29806,245.87,12.53
2016,3,HYDERABAD,MUSCAT,29955,31376,249.63,11.64
2016,4,HYDERABAD,MUSCAT,26651,31252,275.72,8.25
2016,1,HYDERABAD,RIYADH,10268,9076,207.84,31.67
2016,2,HYDERABAD,RIYADH,9803,10296,308.34,36.84
2016,3,HYDERABAD,RIYADH,9598,10007,169.80,35.34
2016,4,HYDERABAD,RIYADH,10375,11796,139.46,24.36
2016,1,HYDERABAD,SHARJAH,14189,14554,201.71,3.35
2016,2,HYDERABAD,SHARJAH,14011,14428,760.66,123.67
2016,3,HYDERABAD,SHARJAH,14347,14520,169.58,5.65
2016,4,HYDERABAD,SHARJAH,14064,14680,131.10,3.50
2016,1,HYDERABAD,SINGAPORE,50507,20847,147.54,174.39
2016,2,HYDERABAD,SINGAPORE,27325,26045,278.06,168.83
2016,3,HYDERABAD,SINGAPORE,21937,22800,239.10,169.06
2016,4,HYDERABAD,SINGAPORE,24106,30404,300.84,165.62
