Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2021,1,HYDERABAD,ABUDHABI,2899,6154,381.40,220.12
2021,2,HYDERABAD,ABUDHABI,1284,6434,451.24,416.61
2021,3,HYDERABAD,ABUDHABI,4227,6148,205.35,200.20
2021,4,HYDERABAD,ABUDHABI,12807,16591,331.25,254.91
2021,1,HYDERABAD,ALMATY,0,0,32.21,0.00
2021,1,HYDERABAD,BAHRAIN,1312,1865,29.30,0.00
2021,2,HYDERABAD,BAHRAIN,1476,1496,31.79,0.70
2021,3,HYDERABAD,BAHRAIN,2170,2002,45.40,0.46
2021,4,HYDERABAD,BAHRAIN,6690,5480,156.86,25.44
2021,1,HYDERABAD,BANGKOK,0,0,25.12,0.00
2021,2,HYDERABAD,BANGKOK,0,0,12.49,0.00
2021,3,HYDERABAD,BANGKOK,0,0,67.02,0.00
2021,4,HYDERABAD,BANGKOK,0,0,31.55,0.00
2021,1,HYDERABAD,CHICAGO,2251,2615,85.96,22.54
2021,2,HYDERABAD,CHICAGO,1180,766,6.72,18.81
2021,3,HYDERABAD,CHICAGO,0,276,0.00,8.38
2021,4,HYDERABAD,CHICAGO,206,981,10.64,21.59
2021,3,HYDERABAD,COLOMBO,678,67,9.81,2.00
2021,4,HYDERABAD,COLOMBO,5338,6034,57.87,2.30
2021,1,HYDERABAD,DAMMAM,0,2345,20.21,0.00
2021,2,HYDERABAD,DAMMAM,15,895,0.00,0.00
2021,3,HYDERABAD,DAMMAM,511,1274,0.00,0.12
2021,4,HYDERABAD,DAMMAM,1170,767,0.00,0.00
2021,1,HYDERABAD,DOHA,13636,12342,3102.02,2837.03
2021,2,HYDERABAD,DOHA,20265,16768,2860.46,2509.86
2021,3,HYDERABAD,DOHA,38005,32661,3126.00,1626.40
2021,4,HYDERABAD,DOHA,49735,50342,2990.82,2704.00
2021,1,HYDERABAD,DUBAI,56652,60148,3018.85,651.88
2021,2,HYDERABAD,DUBAI,17296,39926,3509.40,1027.41
2021,3,HYDERABAD,DUBAI,39679,42152,3587.48,699.13
2021,4,HYDERABAD,DUBAI,68549,66587,4352.81,679.75
2021,2,HYDERABAD,DUSHANBE,0,0,3.00,0.00
2021,1,HYDERABAD,FRANKFURT,0,0,1329.95,811.06
2021,2,HYDERABAD,FRANKFURT,0,0,705.74,0.00
2021,1,HYDERABAD,HONG KONG,133,0,379.39,151.81
2021,2,HYDERABAD,HONG KONG,0,0,300.77,156.89
2021,3,HYDERABAD,HONG KONG,0,0,362.54,297.97
2021,4,HYDERABAD,HONG KONG,0,0,326.45,306.19
2021,1,HYDERABAD,ISTANBUL,0,0,1605.78,297.63
2021,2,HYDERABAD,ISTANBUL,0,0,1667.23,511.73
2021,3,HYDERABAD,ISTANBUL,0,0,2469.73,570.76
2021,4,HYDERABAD,ISTANBUL,0,0,2437.75,476.06
2021,1,HYDERABAD,JEDDAH,0,1456,0.00,0.00
2021,3,HYDERABAD,JEDDAH,0,1216,0.00,0.05
2021,4,HYDERABAD,JEDDAH,163,1189,0.00,0.00
2021,1,HYDERABAD,KUALALUMPUR,278,602,6.48,0.00
2021,2,HYDERABAD,KUALALUMPUR,145,503,0.45,0.00
2021,3,HYDERABAD,KUALALUMPUR,23,536,6.51,0.00
2021,4,HYDERABAD,KUALALUMPUR,1229,1052,1.37,0.00
2021,1,HYDERABAD,KUWAIT,1633,2806,186.52,18.93
2021,2,HYDERABAD,KUWAIT,2016,3117,148.02,15.59
2021,3,HYDERABAD,KUWAIT,1355,5153,272.72,6.99
2021,4,HYDERABAD,KUWAIT,13372,12822,293.12,13.14
2021,1,HYDERABAD,LONDON,7118,6910,470.91,353.07
2021,2,HYDERABAD,LONDON,3026,2127,177.21,186.89
2021,3,HYDERABAD,LONDON,7794,6324,595.46,231.90
2021,4,HYDERABAD,LONDON,8655,8034,346.96,207.98
2021,1,HYDERABAD,MALE,3028,2830,2.77,0.00
2021,2,HYDERABAD,MALE,328,359,0.00,0.00
2021,3,HYDERABAD,MALE,3420,2021,3.45,0.00
2021,4,HYDERABAD,MALE,10106,10560,18.82,0.15
2021,1,HYDERABAD,MUSCAT,12333,9138,167.25,6.64
2021,2,HYDERABAD,MUSCAT,4397,6303,133.87,21.96
2021,3,HYDERABAD,MUSCAT,4290,6571,175.31,6.51
2021,4,HYDERABAD,MUSCAT,15406,14464,177.38,12.68
2021,1,HYDERABAD,RANGOON,0,0,0.15,0.00
2021,2,HYDERABAD,RANGOON,0,0,71.09,0.00
2021,3,HYDERABAD,RANGOON,0,0,296.51,0.00
2021,1,HYDERABAD,RAS AL-KHAIMAH,161,158,16.82,0.00
2021,1,HYDERABAD,RIYADH,4,4040,40.57,0.38
2021,2,HYDERABAD,RIYADH,6,1389,3.79,0.00
2021,3,HYDERABAD,RIYADH,356,3049,10.27,0.00
2021,4,HYDERABAD,RIYADH,3989,2333,10.81,0.12
2021,1,HYDERABAD,SHARJAH,22303,18991,369.45,4.90
2021,2,HYDERABAD,SHARJAH,5868,11228,243.93,1.59
2021,3,HYDERABAD,SHARJAH,14493,9254,340.92,3.65
2021,4,HYDERABAD,SHARJAH,46552,41812,322.34,2.66
2021,1,HYDERABAD,SINGAPORE,572,610,0.00,0.29
2021,2,HYDERABAD,SINGAPORE,129,556,11.72,0.03
2021,3,HYDERABAD,SINGAPORE,103,400,2.27,0.00
2021,4,HYDERABAD,SINGAPORE,1436,3382,24.53,9.78
