Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2019,1,HYDERABAD,ABUDHABI,29673,26191,195.68,49.71
2019,2,HYDERABAD,ABUDHABI,36344,34814,571.45,187.13
2019,3,HYDERABAD,ABUDHABI,42479,33797,734.31,232.87
2019,4,HYDERABAD,ABUDHABI,30016,38086,544.35,177.31
2019,1,HYDERABAD,BAHRAIN,15493,16384,230.93,4.67
2019,2,HYDERABAD,BAHRAIN,14757,17182,212.31,4.45
2019,3,HYDERABAD,BAHRAIN,13188,11838,115.26,1.09
2019,4,HYDERABAD,BAHRAIN,11748,14714,127.71,3.75
2019,1,HYDERABAD,BANGKOK,25905,26924,1008.96,972.94
2019,2,HYDERABAD,BANGKOK,24610,22739,818.37,940.60
2019,3,HYDERABAD,BANGKOK,23892,21512,571.61,1014.98
2019,4,HYDERABAD,BANGKOK,23747,23994,704.73,1008.14
2019,1,HYDERABAD,CHICAGO,3841,2590,0.13,43.35
2019,2,HYDERABAD,CHICAGO,1842,1770,0.00,0.08
2019,3,HYDERABAD,CHICAGO,3533,4475,0.00,5.89
2019,4,HYDERABAD,CHICAGO,2399,3912,13.12,29.60
2019,1,HYDERABAD,COLOMBO,8923,9436,73.28,14.08
2019,2,HYDERABAD,COLOMBO,6765,9217,34.68,5.22
2019,3,HYDERABAD,COLOMBO,8200,10043,61.97,5.44
2019,4,HYDERABAD,COLOMBO,7776,8932,96.86,9.84
2019,1,HYDERABAD,DOHA,31503,31889,2881.88,1327.64
2019,2,HYDERABAD,DOHA,33143,34360,2818.88,1270.65
2019,3,HYDERABAD,DOHA,35057,34124,2375.86,1345.79
2019,4,HYDERABAD,DOHA,42447,46740,2182.53,1744.18
2019,1,HYDERABAD,DUBAI,134866,124089,4415.73,629.80
2019,2,HYDERABAD,DUBAI,126712,125980,4262.63,622.84
2019,3,HYDERABAD,DUBAI,139248,127157,4049.75,550.19
2019,4,HYDERABAD,DUBAI,137551,152740,3954.07,395.89
2019,1,HYDERABAD,FRANKFURT,0,0,1219.67,243.16
2019,2,HYDERABAD,FRANKFURT,0,0,1666.14,346.54
2019,3,HYDERABAD,FRANKFURT,0,0,1891.26,430.32
2019,4,HYDERABAD,FRANKFURT,0,0,1572.46,447.11
2019,1,HYDERABAD,HONG KONG,11136,8175,1408.51,462.22
2019,2,HYDERABAD,HONG KONG,13357,11807,1281.25,463.15
2019,3,HYDERABAD,HONG KONG,14090,10009,758.01,387.20
2019,4,HYDERABAD,HONG KONG,12720,13983,1066.61,462.35
2019,1,HYDERABAD,JEDDAH,29624,26715,490.93,33.51
2019,2,HYDERABAD,JEDDAH,35283,42472,567.33,64.80
2019,3,HYDERABAD,JEDDAH,31233,23311,350.00,34.41
2019,4,HYDERABAD,JEDDAH,41185,41051,412.78,25.89
2019,1,HYDERABAD,KUALALUMPUR,27283,24832,183.08,136.70
2019,2,HYDERABAD,KUALALUMPUR,27796,28751,286.34,186.74
2019,3,HYDERABAD,KUALALUMPUR,27601,26705,284.64,145.83
2019,4,HYDERABAD,KUALALUMPUR,21208,24037,198.50,127.53
2019,1,HYDERABAD,KUWAIT,2043,1197,9.94,0.10
2019,2,HYDERABAD,KUWAIT,1749,1680,2.50,0.00
2019,3,HYDERABAD,KUWAIT,1505,1306,7.73,0.30
2019,4,HYDERABAD,KUWAIT,1342,1182,30.46,0.10
2019,1,HYDERABAD,LONDON,18153,16186,962.31,408.41
2019,2,HYDERABAD,LONDON,18502,16059,965.28,511.41
2019,3,HYDERABAD,LONDON,12590,142851,669.70,431.90
2019,4,HYDERABAD,LONDON,16264,18708,804.41,463.82
2019,2,HYDERABAD,MEDINA,0,1212,0.00,0.00
2019,3,HYDERABAD,MEDINA,0,1962,0.00,0.00
2019,4,HYDERABAD,MEDINA,0,997,0.00,0.00
2019,1,HYDERABAD,MUSCAT,37385,34156,472.47,12.49
2019,2,HYDERABAD,MUSCAT,34223,38785,340.54,17.61
2019,3,HYDERABAD,MUSCAT,27190,17160,287.55,8.41
2019,4,HYDERABAD,MUSCAT,28162,38159,327.65,7.97
2019,1,HYDERABAD,RIYADH,12558,11478,455.57,43.13
2019,2,HYDERABAD,RIYADH,14077,13491,456.05,50.35
2019,3,HYDERABAD,RIYADH,15899,13595,196.85,16.50
2019,4,HYDERABAD,RIYADH,12847,13714,261.14,28.24
2019,1,HYDERABAD,SHARJAH,29005,29528,395.92,10.26
2019,2,HYDERABAD,SHARJAH,31123,35900,547.64,7.28
2019,3,HYDERABAD,SHARJAH,27359,27086,435.66,6.33
2019,4,HYDERABAD,SHARJAH,27566,30160,383.86,7.38
2019,1,HYDERABAD,SINGAPORE,31476,27430,261.26,111.46
2019,2,HYDERABAD,SINGAPORE,33953,33499,279.61,102.90
2019,3,HYDERABAD,SINGAPORE,33034,29945,213.05,87.26
2019,4,HYDERABAD,SINGAPORE,32045,35567,206.25,89.55
2019,1,HYDERABAD,"WASHINGTON, DC",0,424,0.00,0.00
2019,3,HYDERABAD,"WASHINGTON, DC",0,363,0.00,0.00
2019,4,HYDERABAD,"WASHINGTON, DC",0,984,0.00,0.00
