Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2020,1,HYDERABAD,ABUDHABI,31307,28997,563.31,225.52
2020,2,HYDERABAD,ABUDHABI,0,355,1.03,0.12
2020,3,HYDERABAD,ABUDHABI,1425,3910,213.47,123.64
2020,4,HYDERABAD,ABUDHABI,1875,4901,234.74,176.01
2020,3,HYDERABAD,ADEN,456,0,0.00,0.00
2020,2,HYDERABAD,ALMATY,0,54,0.00,0.00
2020,2,HYDERABAD,AMSTERDAM,0,96,0.00,0.00
2020,2,HYDERABAD,AUCKLAND,0,100,0.00,0.00
2020,1,HYDERABAD,BAHRAIN,10270,11010,125.35,1.52
2020,2,HYDERABAD,BAHRAIN,0,728,2.38,0.00
2020,3,HYDERABAD,BAHRAIN,308,2457,19.44,0.42
2020,4,HYDERABAD,BAHRAIN,1795,2324,16.33,0.30
2020,1,HYDERABAD,BANGKOK,14195,12968,617.85,608.77
2020,2,HYDERABAD,BANGKOK,0,0,67.06,4.45
2020,3,HYDERABAD,BANGKOK,0,26,0.00,0.00
2020,4,HYDERABAD,BANGKOK,0,0,11.31,0.00
2020,2,HYDERABAD,BISHKEK,0,290,0.00,0.00
2020,3,HYDERABAD,BISHKEK,0,503,0.00,0.00
2020,1,HYDERABAD,CHICAGO,3304,3737,9.98,18.48
2020,2,HYDERABAD,CHICAGO,453,2240,0.00,0.00
2020,3,HYDERABAD,CHICAGO,0,469,0.00,0.00
2020,1,HYDERABAD,COLOMBO,6194,6951,55.35,6.07
2020,3,HYDERABAD,COLOMBO,9,212,0.91,0.39
2020,1,HYDERABAD,DAMMAM,4348,2919,5.00,0.00
2020,2,HYDERABAD,DAMMAM,0,386,0.00,0.00
2020,3,HYDERABAD,DAMMAM,0,3690,2.23,0.00
2020,4,HYDERABAD,DAMMAM,0,3032,13.01,0.00
2020,2,HYDERABAD,DHAKA,0,0,45.39,1.86
2020,3,HYDERABAD,DHAKA,0,0,12.85,0.00
2020,4,HYDERABAD,DHAKA,0,0,15.54,0.00
2020,1,HYDERABAD,DOHA,35381,32638,2705.51,1482.61
2020,2,HYDERABAD,DOHA,0,720,3040.09,1279.13
2020,3,HYDERABAD,DOHA,906,5326,3075.85,1769.52
2020,4,HYDERABAD,DOHA,5357,7942,2343.65,1800.29
2020,1,HYDERABAD,DUBAI,100628,94712,2725.45,284.13
2020,2,HYDERABAD,DUBAI,0,2554,76.04,20.14
2020,3,HYDERABAD,DUBAI,10201,10194,531.72,141.52
2020,4,HYDERABAD,DUBAI,29792,32107,1232.53,297.36
2020,1,HYDERABAD,FRANKFURT,0,0,1476.85,348.99
2020,2,HYDERABAD,FRANKFURT,0,137,360.99,107.34
2020,3,HYDERABAD,FRANKFURT,0,84,803.34,368.76
2020,4,HYDERABAD,FRANKFURT,0,0,909.65,251.52
2020,1,HYDERABAD,HONG KONG,6323,4765,846.72,314.46
2020,2,HYDERABAD,HONG KONG,0,0,508.12,114.89
2020,3,HYDERABAD,HONG KONG,0,0,931.49,205.58
2020,4,HYDERABAD,HONG KONG,162,0,767.53,282.20
2020,2,HYDERABAD,IKEJA,0,188,0.00,0.00
2020,1,HYDERABAD,ISTANBUL,0,0,516.95,127.92
2020,2,HYDERABAD,ISTANBUL,0,0,1707.37,393.72
2020,3,HYDERABAD,ISTANBUL,0,0,1629.70,398.81
2020,4,HYDERABAD,ISTANBUL,0,0,1525.32,370.47
2020,1,HYDERABAD,JEDDAH,22418,22466,253.46,77.74
2020,2,HYDERABAD,JEDDAH,0,672,19.95,0.00
2020,3,HYDERABAD,JEDDAH,0,901,4.13,0.00
2020,4,HYDERABAD,JEDDAH,0,1690,0.00,0.00
2020,3,HYDERABAD,JOHANNESBERG,0,41,0.00,0.00
2020,2,HYDERABAD,KIEV,0,145,0.00,0.00
2020,3,HYDERABAD,KIEV,0,250,0.00,0.00
2020,1,HYDERABAD,KUALALUMPUR,20138,14836,167.38,62.69
2020,2,HYDERABAD,KUALALUMPUR,0,181,8.47,1.36
2020,3,HYDERABAD,KUALALUMPUR,175,713,0.00,0.00
2020,4,HYDERABAD,KUALALUMPUR,98,696,0.00,0.00
2020,1,HYDERABAD,KUWAIT,1155,846,23.58,0.00
2020,2,HYDERABAD,KUWAIT,0,311,0.00,0.00
2020,3,HYDERABAD,KUWAIT,0,2059,16.99,0.00
2020,4,HYDERABAD,KUWAIT,0,2762,41.73,6.34
2020,3,HYDERABAD,LAPU-LAPU,0,174,0.00,0.00
2020,1,HYDERABAD,LONDON,15786,13914,704.01,386.05
2020,2,HYDERABAD,LONDON,0,406,0.00,0.00
2020,3,HYDERABAD,LONDON,2256,1588,496.85,48.51
2020,4,HYDERABAD,LONDON,3908,8048,485.40,206.22
2020,2,HYDERABAD,MALE,0,171,0.00,0.00
2020,4,HYDERABAD,MALE,72,0,0.00,0.00
2020,3,HYDERABAD,MANILA,168,408,0.00,0.00
2020,2,HYDERABAD,MELBOURNE,0,308,0.00,0.12
2020,3,HYDERABAD,MELBOURNE,0,129,0.00,0.00
2020,2,HYDERABAD,MOSCOW,0,4,0.00,0.00
2020,1,HYDERABAD,MUSCAT,27756,27019,321.54,5.22
2020,2,HYDERABAD,MUSCAT,0,316,13.47,0.00
2020,3,HYDERABAD,MUSCAT,1247,4265,5.18,0.86
2020,4,HYDERABAD,MUSCAT,4131,5123,48.12,7.23
2020,3,HYDERABAD,NAIROBI,0,27,0.00,0.00
2020,3,HYDERABAD,NEW YORK,0,134,0.00,0.00
2020,3,HYDERABAD,NEWARK,0,144,0.00,0.00
2020,2,HYDERABAD,PARIS,0,9,0.00,0.00
2020,2,HYDERABAD,RANGOON,0,0,53.04,0.00
2020,3,HYDERABAD,RANGOON,0,0,149.20,0.00
2020,4,HYDERABAD,RANGOON,0,0,87.55,0.00
2020,2,HYDERABAD,RAS AL-KHAIMAH,0,333,20.44,0.00
2020,3,HYDERABAD,RAS AL-KHAIMAH,0,2477,10.86,0.00
2020,1,HYDERABAD,RIYADH,10362,8007,161.89,12.16
2020,2,HYDERABAD,RIYADH,0,382,0.00,0.00
2020,3,HYDERABAD,RIYADH,0,2288,5.49,0.00
2020,4,HYDERABAD,RIYADH,0,2396,0.00,0.34
2020,2,HYDERABAD,ROME,0,46,0.00,0.00
2020,2,HYDERABAD,SAN FRANCISCO,0,90,0.00,0.00
2020,3,HYDERABAD,SAN FRANCISCO,0,100,0.00,0.00
2020,1,HYDERABAD,SHARJAH,22347,23601,445.00,9.12
2020,2,HYDERABAD,SHARJAH,71,1323,6.62,0.00
2020,3,HYDERABAD,SHARJAH,2414,5678,77.66,0.38
2020,4,HYDERABAD,SHARJAH,18476,15759,160.31,1.68
2020,1,HYDERABAD,SINGAPORE,26356,22547,170.91,67.62
2020,2,HYDERABAD,SINGAPORE,0,325,6.98,1.70
2020,3,HYDERABAD,SINGAPORE,298,557,48.65,9.37
2020,4,HYDERABAD,SINGAPORE,331,645,0.90,3.85
2020,3,HYDERABAD,TORONTO,0,69,0.00,0.00
2020,1,HYDERABAD,"WASHINGTON, DC",0,812,0.00,0.00
