Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2018,1,HYDERABAD,ABUDHABI,39627,33485,164.54,14.97
2018,2,HYDERABAD,ABUDHABI,36292,37637,202.59,100.46
2018,3,HYDERABAD,ABUDHABI,39830,33396,239.92,150.07
2018,4,HYDERABAD,ABUDHABI,25621,27460,128.00,42.60
2018,1,HYDERABAD,BAHRAIN,10284,13146,194.56,5.60
2018,2,HYDERABAD,BAHRAIN,12991,15233,102.00,10.65
2018,3,HYDERABAD,BAHRAIN,14106,14529,223.58,8.79
2018,4,HYDERABAD,BAHRAIN,13732,17130,212.44,6.12
2018,1,HYDERABAD,BANGKOK,18818,17254,970.59,1013.38
2018,2,HYDERABAD,BANGKOK,22333,20605,968.74,933.67
2018,3,HYDERABAD,BANGKOK,23285,20164,1094.99,998.21
2018,4,HYDERABAD,BANGKOK,30027,33497,1057.99,1102.08
2018,1,HYDERABAD,CHICAGO,2908,3269,0.00,39.93
2018,2,HYDERABAD,CHICAGO,3267,4513,0.00,62.32
2018,3,HYDERABAD,CHICAGO,5482,4235,0.00,27.54
2018,4,HYDERABAD,CHICAGO,2857,4871,0.00,32.98
2018,1,HYDERABAD,COLOMBO,8194,9301,42.83,11.89
2018,2,HYDERABAD,COLOMBO,10142,12807,84.56,16.09
2018,3,HYDERABAD,COLOMBO,8497,9003,256.13,19.11
2018,4,HYDERABAD,COLOMBO,9275,10344,59.01,16.44
2018,1,HYDERABAD,DAMMAM,6506,6896,24.85,5.19
2018,2,HYDERABAD,DAMMAM,4933,6287,18.49,8.89
2018,3,HYDERABAD,DAMMAM,5939,5709,88.99,3.95
2018,1,HYDERABAD,DOHA,32491,30162,2588.63,1614.28
2018,2,HYDERABAD,DOHA,29626,30822,2610.98,1246.71
2018,3,HYDERABAD,DOHA,32656,32333,2312.72,1092.82
2018,4,HYDERABAD,DOHA,28004,34359,2389.68,1546.85
2018,1,HYDERABAD,DUBAI,126575,119788,4540.03,778.30
2018,2,HYDERABAD,DUBAI,123216,124900,4494.86,1173.26
2018,3,HYDERABAD,DUBAI,135018,121515,4709.63,879.80
2018,4,HYDERABAD,DUBAI,115875,133707,4151.14,663.78
2018,1,HYDERABAD,FRANKFURT,0,2,1057.16,409.50
2018,2,HYDERABAD,FRANKFURT,0,0,1082.99,302.12
2018,3,HYDERABAD,FRANKFURT,0,0,1230.64,278.76
2018,4,HYDERABAD,FRANKFURT,0,0,1332.06,285.03
2018,1,HYDERABAD,HONG KONG,9706,7094,1151.98,718.09
2018,2,HYDERABAD,HONG KONG,10342,9524,1170.30,626.74
2018,3,HYDERABAD,HONG KONG,10500,8146,778.04,521.15
2018,4,HYDERABAD,HONG KONG,9183,10664,898.48,493.97
2018,1,HYDERABAD,JEDDAH,28104,23890,317.47,48.96
2018,2,HYDERABAD,JEDDAH,25538,32551,606.00,52.96
2018,3,HYDERABAD,JEDDAH,19522,19648,679.02,43.96
2018,4,HYDERABAD,JEDDAH,28630,29034,489.38,46.42
2018,1,HYDERABAD,KUALALUMPUR,30153,27554,195.03,173.23
2018,2,HYDERABAD,KUALALUMPUR,28170,29036,256.48,197.67
2018,3,HYDERABAD,KUALALUMPUR,26601,26334,254.73,148.80
2018,4,HYDERABAD,KUALALUMPUR,26732,29997,224.03,159.76
2018,1,HYDERABAD,KUWAIT,1370,1088,0.00,0.20
2018,2,HYDERABAD,KUWAIT,1645,1435,0.83,0.20
2018,3,HYDERABAD,KUWAIT,1903,1375,1.22,0.10
2018,4,HYDERABAD,KUWAIT,2950,1721,18.83,0.06
2018,1,HYDERABAD,LONDON,18002,15782,827.08,526.17
2018,2,HYDERABAD,LONDON,17464,15783,953.93,532.16
2018,3,HYDERABAD,LONDON,18666,17015,1111.55,531.34
2018,4,HYDERABAD,LONDON,16807,18414,943.51,398.10
2018,1,HYDERABAD,MEDINA,0,3691,0.00,1.07
2018,2,HYDERABAD,MEDINA,188,0,13.11,0.00
2018,3,HYDERABAD,MEDINA,0,298,0.00,0.72
2018,1,HYDERABAD,MUSCAT,36702,31337,8723.42,6.98
2018,2,HYDERABAD,MUSCAT,31801,38692,372.66,8.41
2018,3,HYDERABAD,MUSCAT,43619,35087,513.24,4.71
2018,4,HYDERABAD,MUSCAT,40713,31840,417.50,6.55
2018,1,HYDERABAD,RIYADH,10979,11869,337.59,32.72
2018,2,HYDERABAD,RIYADH,10449,13459,384.93,41.19
2018,3,HYDERABAD,RIYADH,11407,10009,440.69,60.79
2018,4,HYDERABAD,RIYADH,12936,14295,437.95,30.85
2018,1,HYDERABAD,SHARJAH,25688,24992,325.01,4.82
2018,2,HYDERABAD,SHARJAH,25117,25832,283.90,9.57
2018,3,HYDERABAD,SHARJAH,29372,25510,437.23,7.41
2018,4,HYDERABAD,SHARJAH,28642,30465,312.73,8.98
2018,1,HYDERABAD,SINGAPORE,28931,26188,248.77,187.99
2018,2,HYDERABAD,SINGAPORE,30165,31294,351.60,135.96
2018,3,HYDERABAD,SINGAPORE,28887,27369,327.66,110.90
2018,4,HYDERABAD,SINGAPORE,27736,32815,353.05,119.05
2018,1,HYDERABAD,"WASHINGTON, DC",0,678,0.00,0.00
2018,2,HYDERABAD,"WASHINGTON, DC",0,1064,0.00,0.00
2018,3,HYDERABAD,"WASHINGTON, DC",0,1292,0.00,0.00
2018,4,HYDERABAD,"WASHINGTON, DC",0,1262,0.00,0.00
