Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2023,1,HYDERABAD,ABUDHABI,34680,33445,442.81,238.37
2023,2,HYDERABAD,ABUDHABI,55218,57222,787.97,245.67
2023,3,HYDERABAD,ABUDHABI,59633,50707,659.36,475.24
2023,4,HYDERABAD,ABUDHABI,52143,51271,707.42,286.87
2023,1,HYDERABAD,BAHRAIN,14821,10055,103.63,5.21
2023,2,HYDERABAD,BAHRAIN,12264,13271,118.39,3.19
2023,3,HYDERABAD,BAHRAIN,15099,10903,106.31,3.27
2023,4,HYDERABAD,BAHRAIN,9351,13816,273.03,2.76
2023,1,HYDERABAD,BANGKOK,16862,13664,664.80,229.20
2023,2,HYDERABAD,BANGKOK,19948,18312,455.97,370.79
2023,3,HYDERABAD,BANGKOK,18587,17170,647.87,452.00
2023,4,HYDERABAD,BANGKOK,19122,20340,529.73,623.30
2023,1,HYDERABAD,COLOMBO,5329,3753,93.28,1.20
2023,2,HYDERABAD,COLOMBO,4955,5745,107.80,4.98
2023,3,HYDERABAD,COLOMBO,7255,5817,85.36,4.58
2023,4,HYDERABAD,COLOMBO,14497,12951,64.75,2.73
2023,1,HYDERABAD,DAMMAM,16270,12928,9.49,0.53
2023,2,HYDERABAD,DAMMAM,16200,17226,11.46,0.23
2023,3,HYDERABAD,DAMMAM,18694,12168,0.00,0.00
2023,4,HYDERABAD,DAMMAM,15814,14912,0.00,0.00
2023,1,HYDERABAD,DHAKA,5484,7494,16.65,2.02
2023,2,HYDERABAD,DHAKA,7949,9631,50.69,3.53
2023,3,HYDERABAD,DHAKA,6688,11686,13.42,13.50
2023,4,HYDERABAD,DHAKA,6894,12932,0.00,16.59
2023,1,HYDERABAD,DOHA,63524,57461,2894.01,1242.52
2023,2,HYDERABAD,DOHA,54099,54014,2386.68,896.94
2023,3,HYDERABAD,DOHA,59542,53101,2734.57,983.83
2023,4,HYDERABAD,DOHA,54667,64946,2298.21,989.36
2023,1,HYDERABAD,DUBAI,133559,115138,3259.06,419.56
2023,2,HYDERABAD,DUBAI,137252,133320,3635.11,518.14
2023,3,HYDERABAD,DUBAI,135231,111027,3477.79,436.07
2023,4,HYDERABAD,DUBAI,116117,131403,3132.12,528.04
2023,1,HYDERABAD,FRANKFURT,0,0,1113.34,0.00
2023,2,HYDERABAD,FRANKFURT,0,0,1496.63,0.00
2023,3,HYDERABAD,FRANKFURT,0,0,2473.61,0.00
2023,4,HYDERABAD,FRANKFURT,0,0,2422.37,0.00
2023,1,HYDERABAD,ISTANBUL,0,0,1341.08,399.76
2023,2,HYDERABAD,ISTANBUL,0,0,2104.51,390.49
2023,3,HYDERABAD,ISTANBUL,0,0,2021.23,388.48
2023,4,HYDERABAD,ISTANBUL,0,0,1477.64,277.51
2023,1,HYDERABAD,JEDDAH,31870,27980,393.34,17.88
2023,2,HYDERABAD,JEDDAH,33407,41176,261.67,26.11
2023,3,HYDERABAD,JEDDAH,45013,34283,304.83,8.93
2023,4,HYDERABAD,JEDDAH,50371,50942,399.32,10.86
2023,1,HYDERABAD,KUALALUMPUR,27749,23055,460.51,333.22
2023,2,HYDERABAD,KUALALUMPUR,28833,28382,520.87,331.87
2023,3,HYDERABAD,KUALALUMPUR,29064,28259,518.19,360.18
2023,4,HYDERABAD,KUALALUMPUR,27011,30830,518.28,416.33
2023,1,HYDERABAD,KUWAIT,20700,13939,164.82,1.91
2023,2,HYDERABAD,KUWAIT,15427,18898,168.22,0.85
2023,3,HYDERABAD,KUWAIT,24335,20556,220.84,1.27
2023,4,HYDERABAD,KUWAIT,17482,19888,104.23,0.94
2023,1,HYDERABAD,LONDON,22101,18645,930.76,477.01
2023,2,HYDERABAD,LONDON,16438,15399,829.63,525.94
2023,3,HYDERABAD,LONDON,16707,14954,832.04,449.01
2023,4,HYDERABAD,LONDON,14175,18662,1066.33,554.25
2023,4,HYDERABAD,MALE,4336,4325,13.40,0.15
2023,1,HYDERABAD,MUSCAT,29391,24047,343.13,38.70
2023,2,HYDERABAD,MUSCAT,31029,38557,282.78,12.22
2023,3,HYDERABAD,MUSCAT,45821,28914,236.79,7.66
2023,4,HYDERABAD,MUSCAT,30197,41104,274.55,14.27
2023,2,HYDERABAD,RAS AL-KHAIMAH,1053,2698,0.00,0.00
2023,3,HYDERABAD,RAS AL-KHAIMAH,14443,6941,3.75,0.00
2023,4,HYDERABAD,RAS AL-KHAIMAH,12295,12927,0.00,0.00
2023,1,HYDERABAD,RIYADH,25990,18629,292.74,9.50
2023,2,HYDERABAD,RIYADH,18592,21245,303.49,4.16
2023,3,HYDERABAD,RIYADH,24583,18026,153.99,7.91
2023,4,HYDERABAD,RIYADH,25924,28285,239.33,3.17
2023,1,HYDERABAD,SHARJAH,29393,29396,292.95,2.35
2023,2,HYDERABAD,SHARJAH,26738,28827,249.87,1.01
2023,3,HYDERABAD,SHARJAH,29704,26776,279.45,1.04
2023,4,HYDERABAD,SHARJAH,28413,30464,236.09,2.05
2023,1,HYDERABAD,SINGAPORE,33210,28050,517.79,247.44
2023,2,HYDERABAD,SINGAPORE,43864,32781,535.92,297.56
2023,3,HYDERABAD,SINGAPORE,34641,31019,491.32,378.79
2023,4,HYDERABAD,SINGAPORE,40482,44659,575.99,457.67
