Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2015,1,HYDERABAD,ABUDHABI,44645,37265,562.19,197.14
2015,2,HYDERABAD,ABUDHABI,34543,37603,443.51,55.94
2015,3,HYDERABAD,ABUDHABI,41696,39317,210.61,67.69
2015,4,HYDERABAD,ABUDHABI,45981,42462,218.64,200.84
2015,1,HYDERABAD,BAHRAIN,9198,7687,0.12,0.43
2015,2,HYDERABAD,BAHRAIN,8084,8385,0.02,1.02
2015,3,HYDERABAD,BAHRAIN,8000,8119,0.14,0.21
2015,4,HYDERABAD,BAHRAIN,10539,10853,0.05,3.07
2015,1,HYDERABAD,BANGKOK,14140,11836,557.69,307.95
2015,2,HYDERABAD,BANGKOK,14842,13713,403.16,488.62
2015,3,HYDERABAD,BANGKOK,14016,12895,553.26,417.87
2015,4,HYDERABAD,BANGKOK,16249,15908,535.86,435.97
2015,1,HYDERABAD,CHICAGO,5116,4150,0.00,0.00
2015,2,HYDERABAD,CHICAGO,6226,5832,0.00,0.00
2015,3,HYDERABAD,CHICAGO,8695,5449,0.00,0.00
2015,4,HYDERABAD,CHICAGO,4992,5871,0.00,0.00
2015,1,HYDERABAD,DAMMAM,3818,4458,3.01,0.00
2015,2,HYDERABAD,DAMMAM,4582,4363,38.39,4.02
2015,3,HYDERABAD,DAMMAM,4868,4956,13.58,2.32
2015,4,HYDERABAD,DAMMAM,1941,1964,16.32,4.79
2015,1,HYDERABAD,DOHA,14545,13651,532.41,151.09
2015,2,HYDERABAD,DOHA,14965,14901,697.01,284.60
2015,3,HYDERABAD,DOHA,15084,15056,905.57,157.58
2015,4,HYDERABAD,DOHA,19195,20805,1322.45,340.70
2015,1,HYDERABAD,DUBAI,112952,99989,3323.71,830.58
2015,2,HYDERABAD,DUBAI,117835,110757,3927.96,881.94
2015,3,HYDERABAD,DUBAI,112220,106335,3191.57,864.69
2015,4,HYDERABAD,DUBAI,113613,121202,3520.04,908.26
2015,1,HYDERABAD,FRANKFURT,0,0,1451.55,249.13
2015,2,HYDERABAD,FRANKFURT,0,0,1527.29,324.74
2015,3,HYDERABAD,FRANKFURT,0,0,1362.11,380.49
2015,4,HYDERABAD,FRANKFURT,0,0,1167.09,276.43
2015,1,HYDERABAD,HONG KONG,9261,7433,780.73,593.26
2015,2,HYDERABAD,HONG KONG,14277,13931,1214.35,828.18
2015,3,HYDERABAD,HONG KONG,10184,9345,1216.11,680.91
2015,4,HYDERABAD,HONG KONG,10294,11076,1117.78,431.03
2015,1,HYDERABAD,JEDDAH,20901,18531,411.81,24.35
2015,2,HYDERABAD,JEDDAH,19036,19607,691.11,32.22
2015,3,HYDERABAD,JEDDAH,16773,16693,350.63,25.53
2015,4,HYDERABAD,JEDDAH,17797,15492,282.89,8.45
2015,1,HYDERABAD,KUALALUMPUR,11750,10041,155.50,144.58
2015,2,HYDERABAD,KUALALUMPUR,10749,11133,148.15,171.51
2015,3,HYDERABAD,KUALALUMPUR,13512,12929,172.25,167.08
2015,4,HYDERABAD,KUALALUMPUR,21913,24489,268.24,151.85
2015,1,HYDERABAD,KUWAIT,1158,1332,0.00,0.00
2015,2,HYDERABAD,KUWAIT,2148,1964,0.00,9.86
2015,3,HYDERABAD,KUWAIT,1957,2196,0.11,9.18
2015,4,HYDERABAD,KUWAIT,1787,2349,0.00,6.94
2015,1,HYDERABAD,LONDON,12362,9436,625.01,248.08
2015,2,HYDERABAD,LONDON,18457,15141,905.00,461.00
2015,3,HYDERABAD,LONDON,17965,15664,817.00,464.00
2015,4,HYDERABAD,LONDON,9796,11659,584.00,326.00
2015,4,HYDERABAD,MEDINA,0,421,0.00,0.00
2015,1,HYDERABAD,MUSCAT,28428,25550,299.03,11.94
2015,2,HYDERABAD,MUSCAT,28430,28102,353.01,10.07
2015,3,HYDERABAD,MUSCAT,27815,27040,263.94,19.32
2015,4,HYDERABAD,MUSCAT,31109,29181,103.50,171.36
2015,1,HYDERABAD,RIYADH,10848,8933,259.45,22.16
2015,2,HYDERABAD,RIYADH,10219,9820,506.66,27.32
2015,3,HYDERABAD,RIYADH,9551,10150,209.31,15.34
2015,4,HYDERABAD,RIYADH,10936,10317,200.18,22.87
2015,1,HYDERABAD,SHARJAH,14463,14193,137.25,46.16
2015,2,HYDERABAD,SHARJAH,14601,14657,152.38,66.54
2015,3,HYDERABAD,SHARJAH,14046,14308,178.27,3.12
2015,4,HYDERABAD,SHARJAH,14749,14837,199.95,3.09
2015,1,HYDERABAD,SINGAPORE,22530,18410,72.63,65.23
2015,2,HYDERABAD,SINGAPORE,24921,24215,209.64,88.65
2015,3,HYDERABAD,SINGAPORE,22741,20985,181.68,137.48
2015,4,HYDERABAD,SINGAPORE,24444,26773,186.40,164.16
