Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2017,1,HYDERABAD,ABUDHABI,46692,41783,465.89,114.11
2017,2,HYDERABAD,ABUDHABI,44884,48359,539.20,161.24
2017,3,HYDERABAD,ABUDHABI,54730,51704,549.96,164.00
2017,4,HYDERABAD,ABUDHABI,37654,43344,251.73,55.09
2017,1,HYDERABAD,BAHRAIN,15370,13989,158.24,3.10
2017,2,HYDERABAD,BAHRAIN,12928,16518,140.73,4.36
2017,3,HYDERABAD,BAHRAIN,13781,14049,190.96,5.89
2017,4,HYDERABAD,BAHRAIN,11488,12835,77.66,25.17
2017,1,HYDERABAD,BANGKOK,17042,15736,719.93,754.43
2017,2,HYDERABAD,BANGKOK,19108,17804,452.85,648.27
2017,3,HYDERABAD,BANGKOK,18344,16621,512.78,722.62
2017,4,HYDERABAD,BANGKOK,16463,16599,594.59,878.47
2017,1,HYDERABAD,CHICAGO,3538,2995,0.00,22.87
2017,2,HYDERABAD,CHICAGO,4044,4617,2.79,24.21
2017,3,HYDERABAD,CHICAGO,5389,5364,0.00,21.42
2017,4,HYDERABAD,CHICAGO,2737,4537,0.00,49.77
2017,3,HYDERABAD,COLOMBO,6006,7013,292.99,10.57
2017,4,HYDERABAD,COLOMBO,11811,13301,55.41,15.19
2017,1,HYDERABAD,DAMMAM,8427,7983,11.86,1.21
2017,2,HYDERABAD,DAMMAM,5420,7773,20.79,0.81
2017,3,HYDERABAD,DAMMAM,8474,8682,34.33,2.45
2017,4,HYDERABAD,DAMMAM,5858,7407,11.48,4.57
2017,1,HYDERABAD,DOHA,14387,14552,1442.43,398.67
2017,2,HYDERABAD,DOHA,15259,15431,1611.48,663.54
2017,3,HYDERABAD,DOHA,15834,16042,1786.57,785.24
2017,4,HYDERABAD,DOHA,15844,20021,2077.21,1303.29
2017,1,HYDERABAD,DUBAI,126199,113247,4571.83,853.63
2017,2,HYDERABAD,DUBAI,115885,126577,4897.98,965.44
2017,3,HYDERABAD,DUBAI,133809,128702,4539.45,931.70
2017,4,HYDERABAD,DUBAI,119648,129894,4812.48,845.30
2017,1,HYDERABAD,FRANKFURT,0,0,1489.94,375.58
2017,2,HYDERABAD,FRANKFURT,0,0,1425.79,792.05
2017,3,HYDERABAD,FRANKFURT,0,0,1281.80,381.33
2017,4,HYDERABAD,FRANKFURT,0,0,1154.00,370.97
2017,1,HYDERABAD,HONG KONG,9220,6588,943.59,656.32
2017,2,HYDERABAD,HONG KONG,11245,9872,1078.15,895.36
2017,3,HYDERABAD,HONG KONG,10008,8319,1607.71,477.77
2017,4,HYDERABAD,HONG KONG,7963,9803,1474.43,726.17
2017,1,HYDERABAD,JEDDAH,22453,20022,435.77,52.92
2017,2,HYDERABAD,JEDDAH,23719,28545,804.73,48.84
2017,3,HYDERABAD,JEDDAH,17136,19525,473.30,38.76
2017,4,HYDERABAD,JEDDAH,25487,19833,461.25,33.69
2017,1,HYDERABAD,KUALALUMPUR,25353,24582,151.81,175.63
2017,2,HYDERABAD,KUALALUMPUR,25909,25310,158.81,167.28
2017,3,HYDERABAD,KUALALUMPUR,25607,23621,184.67,177.44
2017,4,HYDERABAD,KUALALUMPUR,25310,26442,181.59,133.45
2017,1,HYDERABAD,KUWAIT,1449,1369,0.00,0.59
2017,2,HYDERABAD,KUWAIT,1213,1814,0.55,0.81
2017,3,HYDERABAD,KUWAIT,1696,2010,0.18,0.62
2017,4,HYDERABAD,KUWAIT,1520,1687,0.12,0.50
2017,1,HYDERABAD,LONDON,17528,14829,831.68,484.91
2017,2,HYDERABAD,LONDON,17781,15257,856.34,503.70
2017,3,HYDERABAD,LONDON,17726,17338,777.90,618.44
2017,4,HYDERABAD,LONDON,13490,16916,863.30,456.69
2017,1,HYDERABAD,MEDINA,0,0,0.00,0.00
2017,2,HYDERABAD,MEDINA,0,0,0.00,0.00
2017,3,HYDERABAD,MEDINA,0,621,0.00,0.00
2017,4,HYDERABAD,MEDINA,0,5191,0.00,0.07
2017,1,HYDERABAD,MOSCOW,0,0,0.00,0.00
2017,1,HYDERABAD,MUSCAT,30820,29910,342.97,6.78
2017,2,HYDERABAD,MUSCAT,32921,39095,374.64,12.64
2017,3,HYDERABAD,MUSCAT,40832,38353,549.28,4.73
2017,4,HYDERABAD,MUSCAT,31838,34853,263.57,10.07
2017,1,HYDERABAD,RIYADH,10730,10963,322.87,44.35
2017,2,HYDERABAD,RIYADH,10113,12880,499.64,39.91
2017,3,HYDERABAD,RIYADH,9845,10399,365.06,28.16
2017,4,HYDERABAD,RIYADH,10369,10946,406.60,36.35
2017,1,HYDERABAD,SHARJAH,14218,14249,202.93,7.16
2017,2,HYDERABAD,SHARJAH,13195,14627,235.50,7.16
2017,3,HYDERABAD,SHARJAH,14028,14589,233.65,9.27
2017,4,HYDERABAD,SHARJAH,14225,15325,197.86,5.88
2017,1,HYDERABAD,SINGAPORE,25574,22502,240.53,191.91
2017,2,HYDERABAD,SINGAPORE,27322,30004,277.13,220.26
2017,3,HYDERABAD,SINGAPORE,26425,25054,235.11,167.50
2017,4,HYDERABAD,SINGAPORE,27243,31623,312.92,217.40
2017,3,HYDERABAD,"WASHINGTON, DC",0,524,0.00,0.00
2017,4,HYDERABAD,"WASHINGTON, DC",0,900,0.00,0.00
