Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2025,1,HYDERABAD,ABUDHABI,65088,58235,967.99,320.05
2025,2,HYDERABAD,ABUDHABI,62254,58626,1162.54,343.54
2025,3,HYDERABAD,ABUDHABI,72499,62207,1661.87,1027.75
2025,3,HYDERABAD,AMSTERDAM,2433,3146,82.31,54.96
2025,1,HYDERABAD,BAHRAIN,13931,12080,101.11,3.21
2025,2,HYDERABAD,BAHRAIN,15779,19041,188.10,2.63
2025,3,HYDERABAD,BAHRAIN,24240,21727,140.47,1.14
2025,1,HYDERABAD,BANGKOK,32529,30452,1049.39,593.42
2025,2,HYDERABAD,BANGKOK,32052,33045,931.91,397.36
2025,3,HYDERABAD,BANGKOK,32923,32813,1198.33,465.73
2025,1,HYDERABAD,COLOMBO,17554,16509,83.00,5.83
2025,2,HYDERABAD,COLOMBO,15185,13581,92.85,4.78
2025,3,HYDERABAD,COLOMBO,17333,15087,113.67,4.06
2025,1,HYDERABAD,DAMMAM,23225,20102,87.64,28.79
2025,2,HYDERABAD,DAMMAM,16677,18771,54.93,2.09
2025,3,HYDERABAD,DAMMAM,19458,15253,50.36,0.31
2025,1,HYDERABAD,DHAKA,5329,12098,19.17,103.06
2025,2,HYDERABAD,DHAKA,11672,12663,57.10,102.45
2025,3,HYDERABAD,DHAKA,11360,16600,35.07,101.71
2025,1,HYDERABAD,DOHA,61400,59594,3167.67,1403.04
2025,2,HYDERABAD,DOHA,60812,60826,2566.24,960.15
2025,3,HYDERABAD,DOHA,65891,59981,2900.19,1360.71
2025,1,HYDERABAD,DUBAI,132735,119983,3737.48,777.59
2025,2,HYDERABAD,DUBAI,130125,124758,3754.38,1274.09
2025,3,HYDERABAD,DUBAI,138236,121258,3735.18,1484.41
2025,1,HYDERABAD,FRANKFURT,20532,14521,1681.39,496.97
2025,2,HYDERABAD,FRANKFURT,15702,15340,1899.21,557.91
2025,3,HYDERABAD,FRANKFURT,17447,15013,1947.25,514.32
2025,2,HYDERABAD,HO CHI MINH CITY,4096,3908,22.29,0.09
2025,3,HYDERABAD,HO CHI MINH CITY,5181,4693,19.62,10.29
2025,1,HYDERABAD,HONG KONG,104,194,13.68,13.72
2025,2,HYDERABAD,HONG KONG,8951,9083,235.23,259.06
2025,3,HYDERABAD,HONG KONG,10791,10500,119.59,23.85
2025,1,HYDERABAD,ISTANBUL,0,0,2083.07,198.10
2025,2,HYDERABAD,ISTANBUL,0,0,1867.46,367.88
2025,3,HYDERABAD,ISTANBUL,0,0,2841.46,528.03
2025,1,HYDERABAD,JEDDAH,49256,46356,680.51,8.67
2025,2,HYDERABAD,JEDDAH,23869,34992,528.45,26.14
2025,3,HYDERABAD,JEDDAH,53180,45171,734.09,28.17
2025,1,HYDERABAD,KUALALUMPUR,28320,24820,572.33,368.27
2025,2,HYDERABAD,KUALALUMPUR,29468,29546,574.34,430.82
2025,3,HYDERABAD,KUALALUMPUR,25915,26089,522.02,420.16
2025,1,HYDERABAD,KUWAIT,25174,20796,187.34,2.82
2025,2,HYDERABAD,KUWAIT,18607,21096,110.44,3.39
2025,3,HYDERABAD,KUWAIT,20795,17345,113.93,0.80
2025,1,HYDERABAD,LONDON,17141,15755,870.35,538.05
2025,2,HYDERABAD,LONDON,22387,19673,816.70,512.48
2025,3,HYDERABAD,LONDON,23741,21047,866.75,422.33
2025,1,HYDERABAD,MALE,532,462,1.31,0.00
2025,3,HYDERABAD,MALE,304,238,0.00,0.00
2025,1,HYDERABAD,MEDINA,3154,2939,0.00,0.00
2025,2,HYDERABAD,MEDINA,5694,5894,0.01,0.00
2025,3,HYDERABAD,MEDINA,8960,8382,0.00,0.00
2025,1,HYDERABAD,MUSCAT,37486,29745,265.39,98.95
2025,2,HYDERABAD,MUSCAT,33709,37735,264.34,6.29
2025,3,HYDERABAD,MUSCAT,44482,31399,254.63,11.05
2025,1,HYDERABAD,PHUKET,3938,4000,0.78,57.00
2025,2,HYDERABAD,PHUKET,11026,9207,12.10,28.76
2025,3,HYDERABAD,PHUKET,8934,7586,95.07,85.59
2025,1,HYDERABAD,RAS AL-KHAIMAH,14829,13092,2.81,0.00
2025,2,HYDERABAD,RAS AL-KHAIMAH,13975,12565,7.06,0.00
2025,3,HYDERABAD,RAS AL-KHAIMAH,14631,12780,20.42,0.00
2025,1,HYDERABAD,RIYADH,17836,17188,42.66,38.97
2025,2,HYDERABAD,RIYADH,12781,15722,54.12,31.14
2025,3,HYDERABAD,RIYADH,19889,17375,93.09,31.23
2025,1,HYDERABAD,SHARJAH,29522,27556,186.15,1.35
2025,2,HYDERABAD,SHARJAH,29153,30186,246.62,1.09
2025,3,HYDERABAD,SHARJAH,30390,28594,198.11,9.63
2025,1,HYDERABAD,SINGAPORE,48845,40438,754.20,752.69
2025,2,HYDERABAD,SINGAPORE,46857,44501,872.82,810.25
2025,3,HYDERABAD,SINGAPORE,43810,41853,946.00,894.68
